param,value
S0_0_0_0,212147
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,212147
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,212147
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,212147
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,212147
R0_0,5.0008796539
R0_1,5.0008796539
R0_2,5.0008796539
R0_3,5.0008796539
R0_4,5.0008796539
Sample_0,0.0498915873
Sample_1,0.0498915873
Sample_2,0.0498915873
Sample_3,0.0498915873
Sample_4,0.0498915873
Recover_0,0.9230546577
Recover_1,0.9230546577
Recover_2,0.9230546577
Recover_3,0.9230546577
Recover_4,0.9230546577
Stop_time_0,12.9599826862
Time_of_interest_0,2.6974780152
nSampled_tips_0,352
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,212147
Total_S0_1,212147
Total_S0_2,212147
Total_S0_3,212147
Total_S0_4,212147
Infect_0,2.2935e-05
Infect_1,2.2935e-05
Infect_2,2.2935e-05
Infect_3,2.2935e-05
Infect_4,2.2935e-05
VisitDepart_0_0,0.0027614038
VisitDepart_0_1,0.0027614038
VisitDepart_0_2,0.0027614038
VisitDepart_0_3,0.0027614038
VisitDepart_0_4,0.0027614038
VisitDepart_1_0,0.0027614038
VisitDepart_1_1,0.0027614038
VisitDepart_1_2,0.0027614038
VisitDepart_1_3,0.0027614038
VisitDepart_1_4,0.0027614038
VisitDepart_2_0,0.0027614038
VisitDepart_2_1,0.0027614038
VisitDepart_2_2,0.0027614038
VisitDepart_2_3,0.0027614038
VisitDepart_2_4,0.0027614038
VisitDepart_3_0,0.0027614038
VisitDepart_3_1,0.0027614038
VisitDepart_3_2,0.0027614038
VisitDepart_3_3,0.0027614038
VisitDepart_3_4,0.0027614038
VisitDepart_4_0,0.0027614038
VisitDepart_4_1,0.0027614038
VisitDepart_4_2,0.0027614038
VisitDepart_4_3,0.0027614038
VisitDepart_4_4,0.0027614038
VisitReturn_0_0,0.6252256725
VisitReturn_0_1,0.6252256725
VisitReturn_0_2,0.6252256725
VisitReturn_0_3,0.6252256725
VisitReturn_0_4,0.6252256725
VisitReturn_1_0,0.6252256725
VisitReturn_1_1,0.6252256725
VisitReturn_1_2,0.6252256725
VisitReturn_1_3,0.6252256725
VisitReturn_1_4,0.6252256725
VisitReturn_2_0,0.6252256725
VisitReturn_2_1,0.6252256725
VisitReturn_2_2,0.6252256725
VisitReturn_2_3,0.6252256725
VisitReturn_2_4,0.6252256725
VisitReturn_3_0,0.6252256725
VisitReturn_3_1,0.6252256725
VisitReturn_3_2,0.6252256725
VisitReturn_3_3,0.6252256725
VisitReturn_3_4,0.6252256725
VisitReturn_4_0,0.6252256725
VisitReturn_4_1,0.6252256725
VisitReturn_4_2,0.6252256725
VisitReturn_4_3,0.6252256725
VisitReturn_4_4,0.6252256725
VisitStationaryFreqs_0_0,0.9826400853
VisitStationaryFreqs_0_1,0.0043399787
VisitStationaryFreqs_0_2,0.0043399787
VisitStationaryFreqs_0_3,0.0043399787
VisitStationaryFreqs_0_4,0.0043399787
VisitStationaryFreqs_1_0,0.0043399787
VisitStationaryFreqs_1_1,0.9826400853
VisitStationaryFreqs_1_2,0.0043399787
VisitStationaryFreqs_1_3,0.0043399787
VisitStationaryFreqs_1_4,0.0043399787
VisitStationaryFreqs_2_0,0.0043399787
VisitStationaryFreqs_2_1,0.0043399787
VisitStationaryFreqs_2_2,0.9826400853
VisitStationaryFreqs_2_3,0.0043399787
