param,value
S0_0_0_0,194194
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,194194
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,194194
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,194194
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,194194
R0_0,2.3242987487
R0_1,2.3242987487
R0_2,2.3242987487
R0_3,2.3242987487
R0_4,2.3242987487
Sample_0,0.0163419819
Sample_1,0.0163419819
Sample_2,0.0163419819
Sample_3,0.0163419819
Sample_4,0.0163419819
Recover_0,0.3892163425
Recover_1,0.3892163425
Recover_2,0.3892163425
Recover_3,0.3892163425
Recover_4,0.3892163425
Stop_time_0,17.9456990045
Time_of_interest_0,1.2250255763
nSampled_tips_0,323
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,194194
Total_S0_1,194194
Total_S0_2,194194
Total_S0_3,194194
Total_S0_4,194194
Infect_0,4.8541e-06
Infect_1,4.8541e-06
Infect_2,4.8541e-06
Infect_3,4.8541e-06
Infect_4,4.8541e-06
VisitDepart_0_0,0.0011264474
VisitDepart_0_1,0.0011264474
VisitDepart_0_2,0.0011264474
VisitDepart_0_3,0.0011264474
VisitDepart_0_4,0.0011264474
VisitDepart_1_0,0.0011264474
VisitDepart_1_1,0.0011264474
VisitDepart_1_2,0.0011264474
VisitDepart_1_3,0.0011264474
VisitDepart_1_4,0.0011264474
VisitDepart_2_0,0.0011264474
VisitDepart_2_1,0.0011264474
VisitDepart_2_2,0.0011264474
VisitDepart_2_3,0.0011264474
VisitDepart_2_4,0.0011264474
VisitDepart_3_0,0.0011264474
VisitDepart_3_1,0.0011264474
VisitDepart_3_2,0.0011264474
VisitDepart_3_3,0.0011264474
VisitDepart_3_4,0.0011264474
VisitDepart_4_0,0.0011264474
VisitDepart_4_1,0.0011264474
VisitDepart_4_2,0.0011264474
VisitDepart_4_3,0.0011264474
VisitDepart_4_4,0.0011264474
VisitReturn_0_0,0.1988285766
VisitReturn_0_1,0.1988285766
VisitReturn_0_2,0.1988285766
VisitReturn_0_3,0.1988285766
VisitReturn_0_4,0.1988285766
VisitReturn_1_0,0.1988285766
VisitReturn_1_1,0.1988285766
VisitReturn_1_2,0.1988285766
VisitReturn_1_3,0.1988285766
VisitReturn_1_4,0.1988285766
VisitReturn_2_0,0.1988285766
VisitReturn_2_1,0.1988285766
VisitReturn_2_2,0.1988285766
VisitReturn_2_3,0.1988285766
VisitReturn_2_4,0.1988285766
VisitReturn_3_0,0.1988285766
VisitReturn_3_1,0.1988285766
VisitReturn_3_2,0.1988285766
VisitReturn_3_3,0.1988285766
VisitReturn_3_4,0.1988285766
VisitReturn_4_0,0.1988285766
VisitReturn_4_1,0.1988285766
VisitReturn_4_2,0.1988285766
VisitReturn_4_3,0.1988285766
VisitReturn_4_4,0.1988285766
VisitStationaryFreqs_0_0,0.9778404907
VisitStationaryFreqs_0_1,0.0055398773
VisitStationaryFreqs_0_2,0.0055398773
VisitStationaryFreqs_0_3,0.0055398773
VisitStationaryFreqs_0_4,0.0055398773
VisitStationaryFreqs_1_0,0.0055398773
VisitStationaryFreqs_1_1,0.9778404907
VisitStationaryFreqs_1_2,0.0055398773
VisitStationaryFreqs_1_3,0.0055398773
VisitStationaryFreqs_1_4,0.0055398773
VisitStationaryFreqs_2_0,0.0055398773
VisitStationaryFreqs_2_1,0.0055398773
VisitStationaryFreqs_2_2,0.9778404907
VisitStationaryFreqs_2_3,0.0055398773
VisitStationaryFreqs_2_4,0.0055398773
VisitStationaryFreqs_3_0,0.0055398773
VisitStationaryFreqs_3_1,0.0055398773
VisitStationaryFreqs_3_2,0.0055398773
VisitStationaryFreqs_3_3,0.9778404907
VisitStationaryFreqs_3_4,0.0055398773
VisitStationaryFreqs_4_0,0.0055398773
VisitStationaryFreqs_4_1,0.0055398773
VisitStationaryFreqs_4_2,0.0055398773
VisitStationaryFreqs_4_3,0.0055398773
VisitStationaryFreqs_4_4,0.9778404907
VisitApproxInfect_0_0,4.7465e-06
VisitApproxInfect_0_1,2.69e-08
VisitApproxInfect_0_2,2.69e-08
VisitApproxInfect_0_3,2.69e-08
VisitApproxInfect_0_4,2.69e-08
VisitApproxInfect_1_0,2.69e-08
VisitApproxInfect_1_1,4.7465e-06
VisitApproxInfect_1_2,2.69e-08
VisitApproxInfect_1_3,2.69e-08
VisitApproxInfect_1_4,2.69e-08
VisitApproxInfect_2_0,2.69e-08
VisitApproxInfect_2_1,2.69e-08
VisitApproxInfect_2_2,4.7465e-06
VisitApproxInfect_2_3,2.69e-08
VisitApproxInfect_2_4,2.69e-08
VisitApproxInfect_3_0,2.69e-08
VisitApproxInfect_3_1,2.69e-08
VisitApproxInfect_3_2,2.69e-08
VisitApproxInfect_3_3,4.7465e-06
VisitApproxInfect_3_4,2.69e-08
VisitApproxInfect_4_0,2.69e-08
VisitApproxInfect_4_1,2.69e-08
VisitApproxInfect_4_2,2.69e-08
VisitApproxInfect_4_3,2.69e-08
VisitApproxInfect_4_4,4.7465e-06
StartState_0,1
StartState_1,1
actual_sim_time_0,17.9456990045
SampleCount_0,4.0
SampleCount_1,496.0
SampleCount_2,23.0
SampleCount_3,9.0
SampleCount_4,4.0
num_sampled_per_capita_0,2.0598e-05
num_sampled_per_capita_1,0.0025541469
num_sampled_per_capita_2,0.0001184383
num_sampled_per_capita_3,4.63454e-05
num_sampled_per_capita_4,2.0598e-05
Prevalence_0,0.0
Prevalence_1,3.0
Prevalence_2,0.0
Prevalence_3,0.0
Prevalence_4,0.0
per_capita_prevalence_at_t_0,0.0
per_capita_prevalence_at_t_1,1.54485e-05
per_capita_prevalence_at_t_2,0.0
per_capita_prevalence_at_t_3,0.0
per_capita_prevalence_at_t_4,0.0
final_Susceptible_0_0_0,193836.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
