param,value
S0_0_0_0,334972
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,334972
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,334972
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,334972
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,334972
R0_0,4.6221553383
R0_1,4.6221553383
R0_2,4.6221553383
R0_3,4.6221553383
R0_4,4.6221553383
Sample_0,0.0680621983
Sample_1,0.0680621983
Sample_2,0.0680621983
Sample_3,0.0680621983
Sample_4,0.0680621983
Recover_0,0.6712757578
Recover_1,0.6712757578
Recover_2,0.6712757578
Recover_3,0.6712757578
Recover_4,0.6712757578
Stop_time_0,15.8113177693
Time_of_interest_0,7.4479387202
nSampled_tips_0,321
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,334972
Total_S0_1,334972
Total_S0_2,334972
Total_S0_3,334972
Total_S0_4,334972
Infect_0,1.02019e-05
Infect_1,1.02019e-05
Infect_2,1.02019e-05
Infect_3,1.02019e-05
Infect_4,1.02019e-05
VisitDepart_0_0,0.0012035967
VisitDepart_0_1,0.0012035967
VisitDepart_0_2,0.0012035967
VisitDepart_0_3,0.0012035967
VisitDepart_0_4,0.0012035967
VisitDepart_1_0,0.0012035967
VisitDepart_1_1,0.0012035967
VisitDepart_1_2,0.0012035967
VisitDepart_1_3,0.0012035967
VisitDepart_1_4,0.0012035967
VisitDepart_2_0,0.0012035967
VisitDepart_2_1,0.0012035967
VisitDepart_2_2,0.0012035967
VisitDepart_2_3,0.0012035967
VisitDepart_2_4,0.0012035967
VisitDepart_3_0,0.0012035967
VisitDepart_3_1,0.0012035967
VisitDepart_3_2,0.0012035967
VisitDepart_3_3,0.0012035967
VisitDepart_3_4,0.0012035967
VisitDepart_4_0,0.0012035967
VisitDepart_4_1,0.0012035967
VisitDepart_4_2,0.0012035967
VisitDepart_4_3,0.0012035967
VisitDepart_4_4,0.0012035967
VisitReturn_0_0,0.1128661631
VisitReturn_0_1,0.1128661631
VisitReturn_0_2,0.1128661631
VisitReturn_0_3,0.1128661631
VisitReturn_0_4,0.1128661631
VisitReturn_1_0,0.1128661631
VisitReturn_1_1,0.1128661631
VisitReturn_1_2,0.1128661631
VisitReturn_1_3,0.1128661631
VisitReturn_1_4,0.1128661631
VisitReturn_2_0,0.1128661631
VisitReturn_2_1,0.1128661631
VisitReturn_2_2,0.1128661631
VisitReturn_2_3,0.1128661631
VisitReturn_2_4,0.1128661631
VisitReturn_3_0,0.1128661631
VisitReturn_3_1,0.1128661631
VisitReturn_3_2,0.1128661631
VisitReturn_3_3,0.1128661631
VisitReturn_3_4,0.1128661631
VisitReturn_4_0,0.1128661631
VisitReturn_4_1,0.1128661631
VisitReturn_4_2,0.1128661631
VisitReturn_4_3,0.1128661631
VisitReturn_4_4,0.1128661631
VisitStationaryFreqs_0_0,0.9590893593
VisitStationaryFreqs_0_1,0.0102276602
VisitStationaryFreqs_0_2,0.0102276602
VisitStationaryFreqs_0_3,0.0102276602
VisitStationaryFreqs_0_4,0.0102276602
VisitStationaryFreqs_1_0,0.0102276602
VisitStationaryFreqs_1_1,0.9590893593
VisitStationaryFreqs_1_2,0.0102276602
VisitStationaryFreqs_1_3,0.0102276602
VisitStationaryFreqs_1_4,0.0102276602
VisitStationaryFreqs_2_0,0.0102276602
VisitStationaryFreqs_2_1,0.0102276602
VisitStationaryFreqs_2_2,0.9590893593
VisitStationaryFreqs_2_3,0.0102276602
VisitStationaryFreqs_2_4,0.0102276602
VisitStationaryFreqs_3_0,0.0102276602
VisitStationaryFreqs_3_1,0.0102276602
VisitStationaryFreqs_3_2,0.0102276602
VisitStationaryFreqs_3_3,0.9590893593
VisitStationaryFreqs_3_4,0.0102276602
VisitStationaryFreqs_4_0,0.0102276602
VisitStationaryFreqs_4_1,0.0102276602
VisitStationaryFreqs_4_2,0.0102276602
VisitStationaryFreqs_4_3,0.0102276602
VisitStationaryFreqs_4_4,0.9590893593
VisitApproxInfect_0_0,9.7845e-06
VisitApproxInfect_0_1,1.043e-07
VisitApproxInfect_0_2,1.043e-07
VisitApproxInfect_0_3,1.043e-07
VisitApproxInfect_0_4,1.043e-07
VisitApproxInfect_1_0,1.043e-07
VisitApproxInfect_1_1,9.7845e-06
VisitApproxInfect_1_2,1.043e-07
VisitApproxInfect_1_3,1.043e-07
VisitApproxInfect_1_4,1.043e-07
VisitApproxInfect_2_0,1.043e-07
VisitApproxInfect_2_1,1.043e-07
VisitApproxInfect_2_2,9.7845e-06
VisitApproxInfect_2_3,1.043e-07
VisitApproxInfect_2_4,1.043e-07
VisitApproxInfect_3_0,1.043e-07
VisitApproxInfect_3_1,1.043e-07
VisitApproxInfect_3_2,1.043e-07
VisitApproxInfect_3_3,9.7845e-06
VisitApproxInfect_3_4,1.043e-07
VisitApproxInfect_4_0,1.043e-07
VisitApproxInfect_4_1,1.043e-07
VisitApproxInfect_4_2,1.043e-07
VisitApproxInfect_4_3,1.043e-07
VisitApproxInfect_4_4,9.7845e-06
StartState_0,1
StartState_1,1
actual_sim_time_0,0.7913572457
SampleCount_0,0.0
SampleCount_1,1.0
SampleCount_2,0.0
SampleCount_3,0.0
SampleCount_4,0.0
total_sampled_0,1.0
num_sampled_per_capita_0,0.0
num_sampled_per_capita_1,2.9853e-06
num_sampled_per_capita_2,0.0
num_sampled_per_capita_3,0.0
num_sampled_per_capita_4,0.0
Prevalence_0,0.0
Prevalence_1,1.0
Prevalence_2,0.0
Prevalence_3,0.0
Prevalence_4,0.0
