param,value
S0_0_0_0,403115
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,403115
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,403115
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,403115
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,403115
R0_0,3.1136944141
R0_1,3.1136944141
R0_2,3.1136944141
R0_3,3.1136944141
R0_4,3.1136944141
Sample_0,0.0395599781
Sample_1,0.0395599781
Sample_2,0.0395599781
Sample_3,0.0395599781
Sample_4,0.0395599781
Recover_0,0.1187391322
Recover_1,0.1187391322
Recover_2,0.1187391322
Recover_3,0.1187391322
Recover_4,0.1187391322
Stop_time_0,6.5134913027
Time_of_interest_0,50.8622402684
nSampled_tips_0,290
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,403115
Total_S0_1,403115
Total_S0_2,403115
Total_S0_3,403115
Total_S0_4,403115
Infect_0,1.2227e-06
Infect_1,1.2227e-06
Infect_2,1.2227e-06
Infect_3,1.2227e-06
Infect_4,1.2227e-06
VisitDepart_0_0,0.0054246689
VisitDepart_0_1,0.0054246689
VisitDepart_0_2,0.0054246689
VisitDepart_0_3,0.0054246689
VisitDepart_0_4,0.0054246689
VisitDepart_1_0,0.0054246689
VisitDepart_1_1,0.0054246689
VisitDepart_1_2,0.0054246689
VisitDepart_1_3,0.0054246689
VisitDepart_1_4,0.0054246689
VisitDepart_2_0,0.0054246689
VisitDepart_2_1,0.0054246689
VisitDepart_2_2,0.0054246689
VisitDepart_2_3,0.0054246689
VisitDepart_2_4,0.0054246689
VisitDepart_3_0,0.0054246689
VisitDepart_3_1,0.0054246689
VisitDepart_3_2,0.0054246689
VisitDepart_3_3,0.0054246689
VisitDepart_3_4,0.0054246689
VisitDepart_4_0,0.0054246689
VisitDepart_4_1,0.0054246689
VisitDepart_4_2,0.0054246689
VisitDepart_4_3,0.0054246689
VisitDepart_4_4,0.0054246689
VisitReturn_0_0,0.1707250479
VisitReturn_0_1,0.1707250479
VisitReturn_0_2,0.1707250479
VisitReturn_0_3,0.1707250479
VisitReturn_0_4,0.1707250479
VisitReturn_1_0,0.1707250479
VisitReturn_1_1,0.1707250479
VisitReturn_1_2,0.1707250479
VisitReturn_1_3,0.1707250479
VisitReturn_1_4,0.1707250479
VisitReturn_2_0,0.1707250479
VisitReturn_2_1,0.1707250479
VisitReturn_2_2,0.1707250479
VisitReturn_2_3,0.1707250479
VisitReturn_2_4,0.1707250479
VisitReturn_3_0,0.1707250479
VisitReturn_3_1,0.1707250479
VisitReturn_3_2,0.1707250479
VisitReturn_3_3,0.1707250479
VisitReturn_3_4,0.1707250479
VisitReturn_4_0,0.1707250479
VisitReturn_4_1,0.1707250479
VisitReturn_4_2,0.1707250479
VisitReturn_4_3,0.1707250479
VisitReturn_4_4,0.1707250479
VisitStationaryFreqs_0_0,0.8872349245
VisitStationaryFreqs_0_1,0.0281912689
VisitStationaryFreqs_0_2,0.0281912689
VisitStationaryFreqs_0_3,0.0281912689
VisitStationaryFreqs_0_4,0.0281912689
VisitStationaryFreqs_1_0,0.0281912689
VisitStationaryFreqs_1_1,0.8872349245
VisitStationaryFreqs_1_2,0.0281912689
VisitStationaryFreqs_1_3,0.0281912689
VisitStationaryFreqs_1_4,0.0281912689
VisitStationaryFreqs_2_0,0.0281912689
VisitStationaryFreqs_2_1,0.0281912689
VisitStationaryFreqs_2_2,0.8872349245
VisitStationaryFreqs_2_3,0.0281912689
VisitStationaryFreqs_2_4,0.0281912689
VisitStationaryFreqs_3_0,0.0281912689
VisitStationaryFreqs_3_1,0.0281912689
VisitStationaryFreqs_3_2,0.0281912689
VisitStationaryFreqs_3_3,0.8872349245
VisitStationaryFreqs_3_4,0.0281912689
VisitStationaryFreqs_4_0,0.0281912689
VisitStationaryFreqs_4_1,0.0281912689
VisitStationaryFreqs_4_2,0.0281912689
VisitStationaryFreqs_4_3,0.0281912689
VisitStationaryFreqs_4_4,0.8872349245
VisitApproxInfect_0_0,1.0848e-06
VisitApproxInfect_0_1,3.45e-08
VisitApproxInfect_0_2,3.45e-08
VisitApproxInfect_0_3,3.45e-08
VisitApproxInfect_0_4,3.45e-08
VisitApproxInfect_1_0,3.45e-08
VisitApproxInfect_1_1,1.0848e-06
VisitApproxInfect_1_2,3.45e-08
VisitApproxInfect_1_3,3.45e-08
VisitApproxInfect_1_4,3.45e-08
VisitApproxInfect_2_0,3.45e-08
VisitApproxInfect_2_1,3.45e-08
VisitApproxInfect_2_2,1.0848e-06
VisitApproxInfect_2_3,3.45e-08
VisitApproxInfect_2_4,3.45e-08
VisitApproxInfect_3_0,3.45e-08
VisitApproxInfect_3_1,3.45e-08
VisitApproxInfect_3_2,3.45e-08
VisitApproxInfect_3_3,1.0848e-06
VisitApproxInfect_3_4,3.45e-08
VisitApproxInfect_4_0,3.45e-08
VisitApproxInfect_4_1,3.45e-08
VisitApproxInfect_4_2,3.45e-08
VisitApproxInfect_4_3,3.45e-08
VisitApproxInfect_4_4,1.0848e-06
StartState_0,3
StartState_1,3
actual_sim_time_0,6.5134913027
SampleCount_0,0.0
SampleCount_1,0.0
