param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
R0_0,11.8725674013
R0_1,11.8725674013
R0_2,11.8725674013
Sample_0,0.0188721888
Sample_1,0.0188721888
Sample_2,0.0188721888
Recover_0,0.1502060611
Recover_1,0.1502060611
Recover_2,0.1502060611
Stop_time_0,3.9941218349
Time_of_interest_0,3.3857266187
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Infect_0,2.01e-08
Infect_1,2.01e-08
Infect_2,2.01e-08
VisitDepart_0_0,0.0100022307
VisitDepart_0_1,0.0100022307
VisitDepart_0_2,0.0100022307
VisitDepart_1_0,0.0100022307
VisitDepart_1_1,0.0100022307
VisitDepart_1_2,0.0100022307
VisitDepart_2_0,0.0100022307
VisitDepart_2_1,0.0100022307
VisitDepart_2_2,0.0100022307
VisitReturn_0_0,0.5603110169
VisitReturn_0_1,0.5603110169
VisitReturn_0_2,0.5603110169
VisitReturn_1_0,0.5603110169
VisitReturn_1_1,0.5603110169
VisitReturn_1_2,0.5603110169
VisitReturn_2_0,0.5603110169
VisitReturn_2_1,0.5603110169
VisitReturn_2_2,0.5603110169
VisitStationaryFreqs_0_0,0.9655282994
VisitStationaryFreqs_0_1,0.0172358503
VisitStationaryFreqs_0_2,0.0172358503
VisitStationaryFreqs_1_0,0.0172358503
VisitStationaryFreqs_1_1,0.9655282994
VisitStationaryFreqs_1_2,0.0172358503
VisitStationaryFreqs_2_0,0.0172358503
VisitStationaryFreqs_2_1,0.0172358503
VisitStationaryFreqs_2_2,0.9655282994
VisitApproxInfect_0_0,1.94e-08
VisitApproxInfect_0_1,3e-10
VisitApproxInfect_0_2,3e-10
VisitApproxInfect_1_0,3e-10
VisitApproxInfect_1_1,1.94e-08
VisitApproxInfect_1_2,3e-10
VisitApproxInfect_2_0,3e-10
VisitApproxInfect_2_1,3e-10
VisitApproxInfect_2_2,1.94e-08
StartState_0,1
StartState_1,1
actual_sim_time_0,3.9941218349
SampleCount_0,16.0
SampleCount_1,48.0
SampleCount_2,24.0
total_sampled_0,88.0
num_sampled_per_capita_0,1.6e-07
num_sampled_per_capita_1,4.8e-07
num_sampled_per_capita_2,2.4e-07
Prevalence_0,57.1703258078
Prevalence_1,384.3406516157
Prevalence_2,137.0
per_capita_prevalence_at_t_0,5.717e-07
per_capita_prevalence_at_t_1,3.8434e-06
per_capita_prevalence_at_t_2,1.37e-06
final_Susceptible_0_0_0,99999751.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99998765.0
final_Susceptible_1_2_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99999518.0
final_Contagious_0_0_0,196.0
final_Contagious_0_1_0,13.0
final_Contagious_0_2_0,3.0
final_Contagious_1_0_0,6.0
final_Contagious_1_1_0,1061.0
final_Contagious_1_2_0,19.0
final_Contagious_2_0_0,5.0
final_Contagious_2_1_0,12.0
final_Contagious_2_2_0,402.0
final_Recovered_0_0_0,37.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,150.0
final_Recovered_1_2_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,63.0
most_recent_tip_age_0,0.0
log_R0_0,2.4742304785
log_R0_1,2.4742304785
log_R0_2,2.4742304785
log_Sample_0,-3.9700659346
log_Sample_1,-3.9700659346
log_Sample_2,-3.9700659346
log_Recover_0,-1.8957471866
log_Recover_1,-1.8957471866
log_Recover_2,-1.8957471866
log_VisitDepart_0_0,-4.6049471393
log_VisitDepart_0_1,-4.6049471393
log_VisitDepart_0_2,-4.6049471393
log_VisitDepart_1_0,-4.6049471393
log_VisitDepart_1_1,-4.6049471393
log_VisitDepart_1_2,-4.6049471393
log_VisitDepart_2_0,-4.6049471393
log_VisitDepart_2_1,-4.6049471393
log_VisitDepart_2_2,-4.6049471393
log_VisitReturn_0_0,-0.5792632621
log_VisitReturn_0_1,-0.5792632621
log_VisitReturn_0_2,-0.5792632621
log_VisitReturn_1_0,-0.5792632621
log_VisitReturn_1_1,-0.5792632621
log_VisitReturn_1_2,-0.5792632621
log_VisitReturn_2_0,-0.5792632621
log_VisitReturn_2_1,-0.5792632621
log_VisitReturn_2_2,-0.5792632621
log_Infect_0,-17.7238439194
log_Infect_1,-17.7238439194
log_Infect_2,-17.7238439194
