species,location
9,2
16,2
17,3
21,3
22,4
23,4
24,4
25,4
26,4
27,4
28,4
36,2
41,4
42,4
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,4
63,4
64,1
65,1
66,1
67,1
68,1
69,4
70,4
71,4
75,1
76,1
77,1
79,1
80,1
81,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,4
104,4
105,1
106,1
108,1
109,1
110,1
111,1
112,1
113,3
114,3
115,3
116,3
118,3
119,3
121,3
122,4
124,3
125,3
126,3
129,4
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
141,4
144,4
