freq,c_dest,purpose,duration,unit,geo
A,AFR,PER,N1-3,NR,AT
A,AFR,PER,N1-3,NR,BE
A,AFR,PER,N1-3,NR,BG
A,AFR,PER,N1-3,NR,CH
A,AFR,PER,N1-3,NR,CY
A,AFR,PER,N1-3,NR,DE
A,AFR,PER,N1-3,NR,DK
A,AFR,PER,N1-3,NR,EA20
A,AFR,PER,N1-3,NR,EE
A,AFR,PER,N1-3,NR,EL
A,AFR,PER,N1-3,NR,ES
A,AFR,PER,N1-3,NR,EU27_2020
A,AFR,PER,N1-3,NR,FI
A,AFR,PER,N1-3,NR,FR
A,AFR,PER,N1-3,NR,HR
A,AFR,PER,N1-3,NR,HU
A,AFR,PER,N1-3,NR,IE
A,AFR,PER,N1-3,NR,IT
A,AFR,PER,N1-3,NR,LT
A,AFR,PER,N1-3,NR,LU
A,AFR,PER,N1-3,NR,LV
A,AFR,PER,N1-3,NR,MT
A,AFR,PER,N1-3,NR,NL
A,AFR,PER,N1-3,NR,NO
A,AFR,PER,N1-3,NR,PL
A,AFR,PER,N1-3,NR,PT
A,AFR,PER,N1-3,NR,RO
A,AFR,PER,N1-3,NR,SE
A,AFR,PER,N1-3,NR,SI
A,AFR,PER,N1-3,NR,SK
A,AFR,PER,N1-3,NR,UK
A,AFR,PER,N_GE1,NR,AL
A,AFR,PER,N_GE1,NR,AT
A,AFR,PER,N_GE1,NR,BE
A,AFR,PER,N_GE1,NR,BG
A,AFR,PER,N_GE1,NR,CH
A,AFR,PER,N_GE1,NR,CY
A,AFR,PER,N_GE1,NR,CZ
A,AFR,PER,N_GE1,NR,DE
A,AFR,PER,N_GE1,NR,DK
A,AFR,PER,N_GE1,NR,EA20
A,AFR,PER,N_GE1,NR,EE
A,AFR,PER,N_GE1,NR,EL
A,AFR,PER,N_GE1,NR,ES
A,AFR,PER,N_GE1,NR,EU27_2020
A,AFR,PER,N_GE1,NR,FI
A,AFR,PER,N_GE1,NR,FR
A,AFR,PER,N_GE1,NR,HR
A,AFR,PER,N_GE1,NR,HU
A,AFR,PER,N_GE1,NR,IE
A,AFR,PER,N_GE1,NR,IT
A,AFR,PER,N_GE1,NR,LT
A,AFR,PER,N_GE1,NR,LU
A,AFR,PER,N_GE1,NR,LV
A,AFR,PER,N_GE1,NR,ME
A,AFR,PER,N_GE1,NR,MK
A,AFR,PER,N_GE1,NR,MT
A,AFR,PER,N_GE1,NR,NL
A,AFR,PER,N_GE1,NR,NO
A,AFR,PER,N_GE1,NR,PL
A,AFR,PER,N_GE1,NR,PT
A,AFR,PER,N_GE1,NR,RO
A,AFR,PER,N_GE1,NR,RS
A,AFR,PER,N_GE1,NR,SE
A,AFR,PER,N_GE1,NR,SI
A,AFR,PER,N_GE1,NR,SK
A,AFR,PER,N_GE1,NR,UK
A,AFR,PER,N_GE4,NR,AL
A,AFR,PER,N_GE4,NR,AT
A,AFR,PER,N_GE4,NR,BE
A,AFR,PER,N_GE4,NR,BG
A,AFR,PER,N_GE4,NR,CH
A,AFR,PER,N_GE4,NR,CY
A,AFR,PER,N_GE4,NR,CZ
A,AFR,PER,N_GE4,NR,DE
A,AFR,PER,N_GE4,NR,DK
A,AFR,PER,N_GE4,NR,EA20
A,AFR,PER,N_GE4,NR,EE
A,AFR,PER,N_GE4,NR,EL
A,AFR,PER,N_GE4,NR,ES
A,AFR,PER,N_GE4,NR,EU27_2020
A,AFR,PER,N_GE4,NR,FI
A,AFR,PER,N_GE4,NR,FR
A,AFR,PER,N_GE4,NR,HR
A,AFR,PER,N_GE4,NR,HU
A,AFR,PER,N_GE4,NR,IE
A,AFR,PER,N_GE4,NR,IT
A,AFR,PER,N_GE4,NR,LT
A,AFR,PER,N_GE4,NR,LU
A,AFR,PER,N_GE4,NR,LV
A,AFR,PER,N_GE4,NR,ME
A,AFR,PER,N_GE4,NR,MK
A,AFR,PER,N_GE4,NR,MT
A,AFR,PER,N_GE4,NR,NL
A,AFR,PER,N_GE4,NR,NO
A,AFR,PER,N_GE4,NR,PL
A,AFR,PER,N_GE4,NR,PT
A,AFR,PER,N_GE4,NR,RO
A,AFR,PER,N_GE4,NR,RS
A,AFR,PER,N_GE4,NR,SE
A,AFR,PER,N_GE4,NR,SI
A,AFR,PER,N_GE4,NR,SK
A,AFR,PER,N_GE4,NR,UK
A,AFR,PER_VFR,N1-3,NR,AT
A,AFR,PER_VFR,N1-3,NR,BE
A,AFR,PER_VFR,N1-3,NR,CH
A,AFR,PER_VFR,N1-3,NR,CY
A,AFR,PER_VFR,N1-3,NR,DE
A,AFR,PER_VFR,N1-3,NR,DK
A,AFR,PER_VFR,N1-3,NR,EA20
A,AFR,PER_VFR,N1-3,NR,ES
A,AFR,PER_VFR,N1-3,NR,EU27_2020
A,AFR,PER_VFR,N1-3,NR,FI
A,AFR,PER_VFR,N1-3,NR,FR
A,AFR,PER_VFR,N1-3,NR,HU
A,AFR,PER_VFR,N1-3,NR,IE
A,AFR,PER_VFR,N1-3,NR,IT
A,AFR,PER_VFR,N1-3,NR,LT
A,AFR,PER_VFR,N1-3,NR,LU
A,AFR,PER_VFR,N1-3,NR,MT
A,AFR,PER_VFR,N1-3,NR,NL
A,AFR,PER_VFR,N1-3,NR,NO
A,AFR,PER_VFR,N1-3,NR,PT
A,AFR,PER_VFR,N1-3,NR,SE
A,AFR,PER_VFR,N1-3,NR,SI
A,AFR,PER_VFR,N1-3,NR,SK
A,AFR,PER_VFR,N1-3,NR,UK
A,AFR,PER_VFR,N_GE1,NR,AT
A,AFR,PER_VFR,N_GE1,NR,BE
A,AFR,PER_VFR,N_GE1,NR,BG
A,AFR,PER_VFR,N_GE1,NR,CH
A,AFR,PER_VFR,N_GE1,NR,CY
A,AFR,PER_VFR,N_GE1,NR,CZ
A,AFR,PER_VFR,N_GE1,NR,DE
A,AFR,PER_VFR,N_GE1,NR,DK
A,AFR,PER_VFR,N_GE1,NR,EA20
A,AFR,PER_VFR,N_GE1,NR,EE
A,AFR,PER_VFR,N_GE1,NR,EL
A,AFR,PER_VFR,N_GE1,NR,ES
A,AFR,PER_VFR,N_GE1,NR,EU27_2020
A,AFR,PER_VFR,N_GE1,NR,FI
A,AFR,PER_VFR,N_GE1,NR,FR
A,AFR,PER_VFR,N_GE1,NR,HR
A,AFR,PER_VFR,N_GE1,NR,HU
A,AFR,PER_VFR,N_GE1,NR,IE
A,AFR,PER_VFR,N_GE1,NR,IT
A,AFR,PER_VFR,N_GE1,NR,LT
A,AFR,PER_VFR,N_GE1,NR,LU
A,AFR,PER_VFR,N_GE1,NR,LV
A,AFR,PER_VFR,N_GE1,NR,MT
A,AFR,PER_VFR,N_GE1,NR,NL
A,AFR,PER_VFR,N_GE1,NR,NO
A,AFR,PER_VFR,N_GE1,NR,PL
A,AFR,PER_VFR,N_GE1,NR,PT
A,AFR,PER_VFR,N_GE1,NR,RO
A,AFR,PER_VFR,N_GE1,NR,SE
A,AFR,PER_VFR,N_GE1,NR,SI
A,AFR,PER_VFR,N_GE1,NR,SK
A,AFR,PER_VFR,N_GE1,NR,UK
A,AFR,PER_VFR,N_GE4,NR,AT
A,AFR,PER_VFR,N_GE4,NR,BE
A,AFR,PER_VFR,N_GE4,NR,BG
