param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,100000000
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,100000000
R0_0,6.5942705016
R0_1,6.5942705016
R0_2,6.5942705016
R0_3,6.5942705016
R0_4,6.5942705016
Sample_0,0.0355246795
Sample_1,0.0355246795
Sample_2,0.0355246795
Sample_3,0.0355246795
Sample_4,0.0355246795
Recover_0,0.477576449
Recover_1,0.477576449
Recover_2,0.477576449
Recover_3,0.477576449
Recover_4,0.477576449
Stop_time_0,3.9957241589
Time_of_interest_0,25.4790709268
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Total_S0_3,100000000
Total_S0_4,100000000
Infect_0,3.38e-08
Infect_1,3.38e-08
Infect_2,3.38e-08
Infect_3,3.38e-08
Infect_4,3.38e-08
VisitDepart_0_0,0.0810038192
VisitDepart_0_1,0.0810038192
VisitDepart_0_2,0.0810038192
VisitDepart_0_3,0.0810038192
VisitDepart_0_4,0.0810038192
VisitDepart_1_0,0.0810038192
VisitDepart_1_1,0.0810038192
VisitDepart_1_2,0.0810038192
VisitDepart_1_3,0.0810038192
VisitDepart_1_4,0.0810038192
VisitDepart_2_0,0.0810038192
VisitDepart_2_1,0.0810038192
VisitDepart_2_2,0.0810038192
VisitDepart_2_3,0.0810038192
VisitDepart_2_4,0.0810038192
VisitDepart_3_0,0.0810038192
VisitDepart_3_1,0.0810038192
VisitDepart_3_2,0.0810038192
VisitDepart_3_3,0.0810038192
VisitDepart_3_4,0.0810038192
VisitDepart_4_0,0.0810038192
VisitDepart_4_1,0.0810038192
VisitDepart_4_2,0.0810038192
VisitDepart_4_3,0.0810038192
VisitDepart_4_4,0.0810038192
VisitReturn_0_0,0.0402594396
VisitReturn_0_1,0.0402594396
VisitReturn_0_2,0.0402594396
VisitReturn_0_3,0.0402594396
VisitReturn_0_4,0.0402594396
VisitReturn_1_0,0.0402594396
VisitReturn_1_1,0.0402594396
VisitReturn_1_2,0.0402594396
VisitReturn_1_3,0.0402594396
VisitReturn_1_4,0.0402594396
VisitReturn_2_0,0.0402594396
VisitReturn_2_1,0.0402594396
VisitReturn_2_2,0.0402594396
VisitReturn_2_3,0.0402594396
VisitReturn_2_4,0.0402594396
VisitReturn_3_0,0.0402594396
VisitReturn_3_1,0.0402594396
VisitReturn_3_2,0.0402594396
VisitReturn_3_3,0.0402594396
VisitReturn_3_4,0.0402594396
VisitReturn_4_0,0.0402594396
VisitReturn_4_1,0.0402594396
VisitReturn_4_2,0.0402594396
VisitReturn_4_3,0.0402594396
VisitReturn_4_4,0.0402594396
VisitStationaryFreqs_0_0,0.1105194454
VisitStationaryFreqs_0_1,0.2223701386
VisitStationaryFreqs_0_2,0.2223701386
VisitStationaryFreqs_0_3,0.2223701386
VisitStationaryFreqs_0_4,0.2223701386
VisitStationaryFreqs_1_0,0.2223701386
VisitStationaryFreqs_1_1,0.1105194454
VisitStationaryFreqs_1_2,0.2223701386
VisitStationaryFreqs_1_3,0.2223701386
VisitStationaryFreqs_1_4,0.2223701386
VisitStationaryFreqs_2_0,0.2223701386
VisitStationaryFreqs_2_1,0.2223701386
VisitStationaryFreqs_2_2,0.1105194454
VisitStationaryFreqs_2_3,0.2223701386
VisitStationaryFreqs_2_4,0.2223701386
VisitStationaryFreqs_3_0,0.2223701386
VisitStationaryFreqs_3_1,0.2223701386
VisitStationaryFreqs_3_2,0.2223701386
VisitStationaryFreqs_3_3,0.1105194454
VisitStationaryFreqs_3_4,0.2223701386
VisitStationaryFreqs_4_0,0.2223701386
VisitStationaryFreqs_4_1,0.2223701386
VisitStationaryFreqs_4_2,0.2223701386
VisitStationaryFreqs_4_3,0.2223701386
VisitStationaryFreqs_4_4,0.1105194454
VisitApproxInfect_0_0,3.7e-09
VisitApproxInfect_0_1,7.5e-09
VisitApproxInfect_0_2,7.5e-09
VisitApproxInfect_0_3,7.5e-09
VisitApproxInfect_0_4,7.5e-09
VisitApproxInfect_1_0,7.5e-09
VisitApproxInfect_1_1,3.7e-09
VisitApproxInfect_1_2,7.5e-09
VisitApproxInfect_1_3,7.5e-09
VisitApproxInfect_1_4,7.5e-09
VisitApproxInfect_2_0,7.5e-09
VisitApproxInfect_2_1,7.5e-09
VisitApproxInfect_2_2,3.7e-09
VisitApproxInfect_2_3,7.5e-09
VisitApproxInfect_2_4,7.5e-09
VisitApproxInfect_3_0,7.5e-09
VisitApproxInfect_3_1,7.5e-09
VisitApproxInfect_3_2,7.5e-09
VisitApproxInfect_3_3,3.7e-09
VisitApproxInfect_3_4,7.5e-09
VisitApproxInfect_4_0,7.5e-09
VisitApproxInfect_4_1,7.5e-09
VisitApproxInfect_4_2,7.5e-09
VisitApproxInfect_4_3,7.5e-09
VisitApproxInfect_4_4,3.7e-09
StartState_0,0
StartState_1,4
actual_sim_time_0,3.9957241589
SampleCount_0,48.0
SampleCount_1,11.0
SampleCount_2,5.0
SampleCount_3,75.0
SampleCount_4,286.0
total_sampled_0,425.0
num_sampled_per_capita_0,4.8e-07
num_sampled_per_capita_1,1.1e-07
num_sampled_per_capita_2,5e-08
num_sampled_per_capita_3,7.5e-07
num_sampled_per_capita_4,2.86e-06
Prevalence_0,669.0
Prevalence_1,247.0
Prevalence_2,127.0
Prevalence_3,1271.0
Prevalence_4,4521.0
per_capita_prevalence_at_t_0,6.69e-06
per_capita_prevalence_at_t_1,2.47e-06
per_capita_prevalence_at_t_2,1.27e-06
per_capita_prevalence_at_t_3,1.271e-05
per_capita_prevalence_at_t_4,4.521e-05
final_Susceptible_0_0_0,99998216.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99998112.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99998152.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,99998335.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,99998723.0
final_Contagious_0_0_0,79.0
final_Contagious_0_1_0,54.0
final_Contagious_0_2_0,26.0
final_Contagious_0_3_0,274.0
final_Contagious_0_4_0,1017.0
final_Contagious_1_0_0,140.0
final_Contagious_1_1_0,47.0
final_Contagious_1_2_0,20.0
final_Contagious_1_3_0,295.0
final_Contagious_1_4_0,1013.0
final_Contagious_2_0_0,120.0
final_Contagious_2_1_0,43.0
final_Contagious_2_2_0,20.0
final_Contagious_2_3_0,271.0
final_Contagious_2_4_0,1034.0
final_Contagious_3_0_0,161.0
final_Contagious_3_1_0,42.0
final_Contagious_3_2_0,22.0
final_Contagious_3_3_0,127.0
final_Contagious_3_4_0,978.0
final_Contagious_4_0_0,169.0
final_Contagious_4_1_0,61.0
final_Contagious_4_2_0,39.0
final_Contagious_4_3_0,304.0
final_Contagious_4_4_0,479.0
final_Recovered_0_0_0,335.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,373.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_1_4_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,360.0
final_Recovered_2_3_0,0.0
final_Recovered_2_4_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,335.0
final_Recovered_3_4_0,0.0
final_Recovered_4_0_0,0.0
final_Recovered_4_1_0,0.0
final_Recovered_4_2_0,0.0
final_Recovered_4_3_0,0.0
final_Recovered_4_4_0,225.0
most_recent_tip_age_0,0.0
log_R0_0,1.8862011662
log_R0_1,1.8862011662
log_R0_2,1.8862011662
log_R0_3,1.8862011662
log_R0_4,1.8862011662
log_Sample_0,-3.3375276269
log_Sample_1,-3.3375276269
log_Sample_2,-3.3375276269
log_Sample_3,-3.3375276269
log_Sample_4,-3.3375276269
log_Recover_0,-0.7390310292
log_Recover_1,-0.7390310292
log_Recover_2,-0.7390310292
log_Recover_3,-0.7390310292
log_Recover_4,-0.7390310292
log_VisitDepart_0_0,-2.5132589752
log_VisitDepart_0_1,-2.5132589752
log_VisitDepart_0_2,-2.5132589752
