Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	ma_base_rate	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
0	-1296.967	-1312.511	15.54395	0.8117442	0.0303627	0.0160736	0.0160736	0.0165309	0.0165309	0.0161243	0.0161243	0.0165426	0.0165426	0.028672	0.028672	0.0522479	0.0289623	0.0289623	0.0282499	0.0282499	0.0289827	0.0289827	0.0353332	0.0353332	0.0347037	0.0347037	0.0662183	0.0348131	0.0348131	0.0357162	0.0357162	0.0204923	0.0204923	0.0201272	0.0201272	0.0206999	0.0206999	0.0374602	0.0207144	0.0207144	0.0069985	0.0069985	0.00687381	0.00687381	0.00706937	0.00706937	0.00689548	0.00689548	0.0131252	0.00198832	0.000171205	0.00302109	0.000486989	0.00309367	0.0194956	0.00170913	0.029325	0.00484629	0.0300084	0.0001517188	1.5814	2.77063	3.41431	1.98021	0.676278	1.5814	2.77063	3.41431	1.98021	0.676278	0.160905	0.281982	0.347351	0.201528	0.0687995
10	-1100.816	-1114.974	14.15817	0.782409	0.0140121	0.00648878	0.00648878	0.00632581	0.00632581	0.00630582	0.00630582	0.00636874	0.00636874	0.0163864	0.0163864	0.0375612	0.0164587	0.0164587	0.0164067	0.0164067	0.0165704	0.0165704	0.0606221	0.0606221	0.0624582	0.0624582	0.135469	0.0606971	0.0606971	0.0613027	0.0613027	0.0154757	0.0154757	0.0159444	0.0159444	0.015544	0.015544	0.0344734	0.0156495	0.0156495	0.00764607	0.00764607	0.00787764	0.00787764	0.00767978	0.00767978	0.00765552	0.00765552	0.0172022	0.000374751	0.0034148	0.000817349	0.000498882	0.00150162	0.00373352	0.0330204	0.00810723	0.00496406	0.0147941	0.0002035984	0.641559	1.66923	6.17537	1.57646	0.778878	0.641559	1.66923	6.17537	1.57646	0.778878	0.0649904	0.169205	0.625629	0.159701	0.0789202
20	-1103.562	-1114.712	11.15054	0.7935992	0.0146838	0.00731071	0.00731071	0.0071254	0.0071254	0.00705373	0.00705373	0.00723936	0.00723936	0.0155099	0.0155099	0.0334296	0.0156596	0.0156596	0.0155021	0.0155021	0.0159101	0.0159101	0.0608154	0.0608154	0.0629993	0.0629993	0.127757	0.0607848	0.0607848	0.0623845	0.0623845	0.0143276	0.0143276	0.0148421	0.0148421	0.0144659	0.0144659	0.0297958	0.0146973	0.0146973	0.00267204	0.00267204	0.002768	0.002768	0.00269784	0.00269784	0.0026707	0.0026707	0.00570304	0.000521816	0.00413159	0.00149218	0.000471227	0.00311536	0.00519107	0.0396766	0.0147024	0.00469017	0.0302124	7.225693e-05	0.707727	1.55538	6.09876	1.43682	0.267961	0.707727	1.55538	6.09876	1.43682	0.267961	0.0721422	0.158593	0.621725	0.146462	0.0273202
30	-1099.896	-1111.081	11.18509	0.6897509	0.00973339	0.00281075	0.00281075	0.00270678	0.00270678	0.00269485	0.00269485	0.00277106	0.00277106	0.015137	0.015137	0.0566	0.0151474	0.0151474	0.0150806	0.0150806	0.0155071	0.0155071	0.0426968	0.0426968	0.0443673	0.0443673	0.153745	0.0425377	0.0425377	0.0437408	0.0437408	0.00942271	0.00942271	0.00979136	0.00979136	0.00942917	0.00942917	0.0337802	0.0096531	0.0096531	0.011282	0.011282	0.0117234	0.0117234	0.0112897	0.0112897	0.0112399	0.0112399	0.0415895	0.000859796	0.00480577	0.000928944	0.000483931	0.00332584	0.00852467	0.045854	0.00920394	0.00481601	0.0321879	5.000474e-05	0.311054	1.74069	4.90993	1.08357	1.29737	0.311054	1.74069	4.90993	1.08357	1.29737	0.0317003	0.178345	0.500431	0.110373	0.132659
40	-1071.658	-1087.874	16.21616	0.2152996	0.10149	0.00367253	0.00367253	0.00345446	0.00345446	0.00345237	0.00345237	0.00356987	0.00356987	0.00265311	0.00265311	0.0816206	0.00263307	0.00263307	0.00263148	0.00263148	0.00272105	0.00272105	0.00989224	0.00989224	0.0104373	0.0104373	0.286255	0.00981159	0.00981159	0.0101455	0.0101455	0.00613919	0.00613919	0.00647745	0.00647745	0.00609282	0.00609282	0.177544	0.00629639	0.00629639	0.00383709	0.00383709	0.0040485	0.0040485	0.0038081	0.0038081	0.0038058	0.0038058	0.114745	0.00122158	0.00679873	0.000456992	0.000396317	0.0038134	0.0120683	0.0636593	0.00454913	0.00394753	0.0367333	0.000146314	1.27775	0.973934	3.63135	2.25364	1.40856	1.27775	0.973934	3.63135	2.25364	1.40856	0.129788	0.102898	0.366828	0.227556	0.145744
50	-1034.78	-1050.58	15.79909	0.05409136	0.115393	0.000895504	0.000895504	0.00081498	0.00081498	0.000818129	0.000818129	0.00082632	0.00082632	0.000707329	0.000707329	0.107432	0.000698878	0.000698878	0.000701578	0.000701578	0.000708602	0.000708602	0.00249339	0.00249339	0.00270701	0.00270701	0.344652	0.00247312	0.00247312	0.00249788	0.00249788	0.00143109	0.00143109	0.0015537	0.0015537	0.00141399	0.00141399	0.198579	0.00143367	0.00143367	0.00174889	0.00174889	0.00189873	0.00189873	0.001728	0.001728	0.00173468	0.00173468	0.245107	0.00129402	0.00997245	8.36977e-05	0.000470415	0.00147635	0.0127749	0.0906813	0.000836277	0.00468212	0.0145487	0.0001201118	1.20433	1.03276	3.64056	2.08952	2.55354	1.20433	1.03276	3.64056	2.08952	2.55354	0.122103	0.113065	0.364995	0.210244	0.259328
60	-1033.515	-1048.944	15.42884	0.04599782	0.133404	0.000876484	0.000876484	0.000799649	0.000799649	0.000800579	0.000800579	0.000809564	0.000809564	0.000535727	0.000535727	0.0969	0.000532816	0.000532816	0.000533435	0.000533435	0.000539422	0.000539422	0.00225473	0.00225473	0.00245795	0.00245795	0.372075	0.00224509	0.00224509	0.00227028	0.00227028	0.00131455	0.00131455	0.00143303	0.00143303	0.0013074	0.0013074	0.217178	0.00132362	0.00132362	0.00150451	0.00150451	0.00164011	0.00164011	0.00149633	0.00149633	0.00149807	0.00149807	0.251352	0.000627551	0.00969706	8.07701e-05	0.000197113	0.00132166	0.00623638	0.0883986	0.000807049	0.00196725	0.0130442	0.0002033247	1.38964	0.925932	3.897	2.27202	2.60034	1.38964	0.925932	3.897	2.27202	2.60034	0.139976	0.101183	0.390531	0.227936	0.26363
70	-1034.701	-1050.365	15.66373	0.05000562	0.124295	0.000890428	0.000890428	0.000813409	0.000813409	0.000815782	0.000815782	0.000826952	0.000826952	0.000923591	0.000923591	0.152831	0.000918603	0.000918603	0.000921283	0.000921283	0.000933898	0.000933898	0.00226877	0.00226877	0.00247018	0.00247018	0.34295	0.0022631	0.0022631	0.00229409	0.00229409	0.00134652	0.00134652	0.00146606	0.00146606	0.00133925	0.00133925	0.204135	0.00136155	0.00136155	0.00153716	0.00153716	0.00167363	0.00167363	0.00152886	0.00152886	0.00153332	0.00153332	0.236228	0.000629899	0.0095633	8.64414e-05	0.000378413	0.00175283	0.00625956	0.0872856	0.000863667	0.00376987	0.0172264	9.846485e-05	1.30018	1.46833	3.60691	2.14071	2.44379	1.30018	1.46833	3.60691	2.14071	2.44379	0.130988	0.160225	0.361543	0.215162	0.248774
80	-1043.56	-1057.005	13.44489	0.06343025	0.138986	0.00127832	0.00127832	0.00116632	0.00116632	0.00116774	0.00116774	0.00118378	0.00118378	0.000700544	0.000700544	0.0899026	0.000694411	0.000694411	0.000695254	0.000695254	0.000704802	0.000704802	0.00282434	0.00282434	0.00306846	0.00306846	0.330698	0.00280301	0.00280301	0.00284151	0.00284151	0.00151954	0.00151954	0.00165088	0.00165088	0.00150624	0.00150624	0.178137	0.00152877	0.00152877	0.00187256	0.00187256	0.00203441	0.00203441	0.00185617	0.00185617	0.00185842	0.00185842	0.222536	0.00103729	0.00977022	0.000152731	0.000274333	0.00165136	0.0102664	0.0890061	0.00152498	0.00273583	0.0162453	4.844832e-05	1.46876	0.874475	3.52557	1.89681	2.33748	1.46876	0.874475	3.52557	1.89681	2.33748	0.148579	0.0954926	0.353773	0.190548	0.237779
90	-1039.16	-1054.487	15.32768	0.05436044	0.10212	0.000799794	0.000799794	0.000726592	0.000726592	0.000728692	0.000728692	0.000734183	0.000734183	0.000649588	0.000649588	0.0985305	0.000643206	0.000643206	0.000645065	0.000645065	0.000649927	0.000649927	0.00246773	0.00246773	0.00268966	0.00268966	0.34005	0.00245055	0.00245055	0.00246902	0.00246902	0.00138432	0.00138432	0.00150881	0.00150881	0.00137072	0.00137072	0.191308	0.00138504	0.00138504	0.00186534	0.00186534	0.0020331	0.0020331	0.00184702	0.00184702	0.00185236	0.00185236	0.259727	0.00113254	0.0102277	0.000139042	0.000428431	0.00118528	0.0111986	0.0927874	0.00138849	0.00426603	0.0117139	0.0002439157	1.06781	0.945266	3.59099	2.01443	2.71441	1.06781	0.945266	3.59099	2.01443	2.71441	0.108098	0.103706	0.360204	0.202606	0.274923
