Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
0	-1399.286	-1403.63	4.343892	0.4878222	0.545564	0.0630906	0.0630906	0.0598567	0.0598567	0.0579399	0.0579399	0.0603483	0.0603483	0.0226063	0.0226063	0.184436	0.0208327	0.0208327	0.0201655	0.0201655	0.0210038	0.0210038	0.0104155	0.0104155	0.010117	0.010117	0.0806208	0.009291	0.009291	0.00967721	0.00967721	0.0142072	0.0142072	0.0137999	0.0137999	0.0130926	0.0130926	0.106448	0.0132001	0.0132001	0.00914127	0.00914127	0.00887921	0.00887921	0.00842408	0.00842408	0.0081543	0.0081543	0.0713384	0.0126028	0.00937469	0.00376842	0.000445268	0.00462057	0.111922	0.0857117	0.0363157	0.00443294	0.044165	9.45968	3.29237	1.51692	2.06913	1.33133	9.45968	3.29237	1.51692	2.06913	1.33133	1.02804	0.353652	0.159622	0.215048	0.140536
10	-1003.606	-1011.492	7.885884	0.02563876	0.136987	0.000453943	0.000453943	0.000463711	0.000463711	0.000449384	0.000449384	0.000454597	0.000454597	0.00100125	0.00100125	0.306684	0.00103044	0.00103044	0.000998605	0.000998605	0.00101019	0.00101019	0.000472117	0.000472117	0.000475647	0.000475647	0.147721	0.00047087	0.00047087	0.000476332	0.000476332	0.000708088	0.000708088	0.000713382	0.000713382	0.000728732	0.000728732	0.21471	0.000714409	0.000714409	0.000749326	0.000749326	0.000754929	0.000754929	0.000771172	0.000771172	0.000747347	0.000747347	0.229849	0.000448614	0.00119967	0.00337717	0.000183295	0.00134531	0.0044661	0.0118545	0.0326684	0.0018296	0.0132746	1.39964	3.11022	1.46656	2.19956	2.32766	1.39964	3.11022	1.46656	2.19956	2.32766	0.14063	0.314764	0.151511	0.220439	0.235895
20	-1003.634	-1010.995	7.361736	0.04374868	0.131057	0.000752454	0.000752454	0.000745326	0.000745326	0.000741238	0.000741238	0.000745277	0.000745277	0.00164712	0.00164712	0.28916	0.00163797	0.00163797	0.00162899	0.00162899	0.00163787	0.00163787	0.00135283	0.00135283	0.00135819	0.00135819	0.235246	0.00133794	0.00133794	0.00134523	0.00134523	0.00122019	0.00122019	0.00122502	0.00122502	0.00121341	0.00121341	0.211017	0.00121333	0.00121333	0.00157533	0.00157533	0.00158156	0.00158156	0.00156658	0.00156658	0.00155799	0.00155799	0.273918	0.00141039	0.00181172	0.000847279	0.000294065	0.000840585	0.0139078	0.0177948	0.0084016	0.00293203	0.00833579	1.35147	2.97008	2.43942	2.20024	2.84062	1.35147	2.97008	2.43942	2.20024	2.84062	0.137026	0.302263	0.246035	0.220761	0.286481
30	-1002.872	-1010.63	7.758297	0.04157569	0.144344	0.000793897	0.000793897	0.000794114	0.000794114	0.000780157	0.000780157	0.000794065	0.000794065	0.00163521	0.00163521	0.305883	0.00165907	0.00165907	0.00162992	0.00162992	0.00165897	0.00165897	0.000866648	0.000866648	0.000879054	0.000879054	0.162159	0.00086384	0.00086384	0.00087924	0.00087924	0.00122027	0.00122027	0.00123774	0.00123774	0.00123808	0.00123808	0.224313	0.001238	0.001238	0.00122782	0.00122782	0.00124539	0.00124539	0.00124573	0.00124573	0.00122384	0.00122384	0.229724	0.000550385	0.00198969	0.00201753	0.000224594	0.00201132	0.00547372	0.0195088	0.0197763	0.0022409	0.0197166	1.49782	3.12926	1.65848	2.33519	2.34963	1.49782	3.12926	1.65848	2.33519	2.34963	0.150669	0.319049	0.169137	0.234181	0.239609
40	-1002.066	-1010.164	8.097835	0.04314173	0.126593	0.000725336	0.000725336	0.000730371	0.000730371	0.000709678	0.000709678	0.000722319	0.000722319	0.00147662	0.00147662	0.266366	0.00151162	0.00151162	0.0014688	0.0014688	0.00149496	0.00149496	0.000911604	0.000911604	0.000926778	0.000926778	0.165585	0.000906771	0.000906771	0.000922923	0.000922923	0.00112407	0.00112407	0.00114278	0.00114278	0.00115071	0.00115071	0.198392	0.00113802	0.00113802	0.00128247	0.00128247	0.00130382	0.00130382	0.00131287	0.00131287	0.00127567	0.00127567	0.230381	0.000864593	0.00254353	0.00325536	0.00032983	0.00211705	0.00857182	0.0248044	0.0315273	0.00328746	0.0207316	1.31167	2.71471	1.67594	2.06655	2.35776	1.31167	2.71471	1.67594	2.06655	2.35776	0.132368	0.27827	0.172921	0.207503	0.24073
50	-1006.674	-1014.457	7.783061	0.04963973	0.107945	0.000706187	0.000706187	0.000720955	0.000720955	0.000699125	0.000699125	0.000710482	0.000710482	0.00190998	0.00190998	0.293118	0.00195381	0.00195381	0.00189465	0.00189465	0.00192543	0.00192543	0.00114401	0.00114401	0.00114629	0.00114629	0.179239	0.00113483	0.00113483	0.00115327	0.00115327	0.00125253	0.00125253	0.00125503	0.00125503	0.00128128	0.00128128	0.1903	0.00126266	0.00126266	0.00160141	0.00160141	0.0016046	0.0016046	0.00163816	0.00163816	0.00158856	0.00158856	0.247258	0.00115289	0.0013545	0.00347416	0.000340917	0.00197096	0.0113975	0.013364	0.0335751	0.00339758	0.0193286	1.12289	3.04306	1.82269	1.99559	2.55144	1.12289	3.04306	1.82269	1.99559	2.55144	0.113619	0.308485	0.188396	0.200403	0.260123
60	-1001.055	-1008.913	7.858078	0.02761909	0.121912	0.000435675	0.000435675	0.000441063	0.000441063	0.000429216	0.000429216	0.000436335	0.000436335	0.00107779	0.00107779	0.30555	0.00109826	0.00109826	0.00106876	0.00106876	0.00108648	0.00108648	0.000566324	0.000566324	0.00057003	0.00057003	0.162537	0.000561579	0.000561579	0.000570894	0.000570894	0.000734559	0.000734559	0.000739366	0.000739366	0.000748509	0.000748509	0.205159	0.000740486	0.000740486	0.000848151	0.000848151	0.000853702	0.000853702	0.000864259	0.000864259	0.000841046	0.000841046	0.240813	0.00111621	0.00177796	0.00303656	0.000269091	0.00193212	0.0110389	0.017469	0.0294707	0.00268369	0.018955	1.23991	3.0874	1.62228	2.1042	2.42959	1.23991	3.0874	1.62228	2.1042	2.42959	0.125397	0.314213	0.167075	0.211085	0.247628
70	-1000.116	-1007.802	7.685564	0.03217137	0.131011	0.000552992	0.000552992	0.000558012	0.000558012	0.000543218	0.000543218	0.000551017	0.000551017	0.00121354	0.00121354	0.296689	0.00124396	0.00124396	0.00121098	0.00121098	0.00122837	0.00122837	0.000744801	0.000744801	0.000756607	0.000756607	0.183744	0.000743235	0.000743235	0.000753905	0.000753905	0.000875004	0.000875004	0.000888874	0.000888874	0.000896943	0.000896943	0.210143	0.0008857	0.0008857	0.00109467	0.00109467	0.00111202	0.00111202	0.00112211	0.00112211	0.00109236	0.00109236	0.266672	0.000584471	0.00217879	0.00310635	0.000372892	0.00181394	0.00581075	0.0213233	0.0301276	0.00371506	0.0178162	1.34579	3.00015	1.84132	2.16322	2.70627	1.34579	3.00015	1.84132	2.16322	2.70627	0.135421	0.306483	0.189741	0.217236	0.275514
80	-1000.162	-1007.742	7.580233	0.03871853	0.128434	0.000650076	0.000650076	0.000654416	0.000654416	0.000640105	0.000640105	0.000647664	0.000647664	0.00150226	0.00150226	0.299966	0.00152034	0.00152034	0.00148709	0.00148709	0.00150465	0.00150465	0.000952248	0.000952248	0.000957316	0.000957316	0.191411	0.000942633	0.000942633	0.000953765	0.000953765	0.00108012	0.00108012	0.00108587	0.00108587	0.00109312	0.00109312	0.212367	0.00108185	0.00108185	0.00134172	0.00134172	0.00134886	0.00134886	0.00135787	0.00135787	0.00132817	0.00132817	0.266916	0.00126942	0.0018084	0.00248807	0.000246907	0.00143077	0.0125351	0.0177628	0.0242767	0.00246299	0.0141059	1.31932	3.06505	1.94287	2.20377	2.73751	1.31932	3.06505	1.94287	2.20377	2.73751	0.133619	0.311994	0.199023	0.221049	0.27767
90	-1002.596	-1010.494	7.898336	0.0339808	0.127665	0.00056876	0.00056876	0.000573969	0.000573969	0.000555659	0.000555659	0.000563208	0.000563208	0.00128907	0.00128907	0.297043	0.00131807	0.00131807	0.00127602	0.00127602	0.00129336	0.00129336	0.0006699	0.0006699	0.000678752	0.000678752	0.15578	0.000663117	0.000663117	0.000672127	0.000672127	0.000909008	0.000909008	0.000921019	0.000921019	0.000929454	0.000929454	0.20464	0.000912029	0.000912029	0.00106781	0.00106781	0.00108192	0.00108192	0.00109183	0.00109183	0.001057	0.001057	0.243656	0.00132066	0.00265947	0.00359965	0.000294711	0.00165744	0.0130344	0.0259058	0.0347458	0.00293845	0.0163042	1.30433	2.99526	1.55657	2.11216	2.48114	1.30433	2.99526	1.55657	2.11216	2.48114	0.132188	0.307396	0.161148	0.211983	0.252253
