Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_param[1]	delta_param[2]	delta_param[3]	delta_param[4]	delta_param[5]	ma_base_rate	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
0	-1515.134	-1524.844	9.710449	0.04355755	0.36841	0.00205356	0.00205356	0.00199554	0.00199554	0.00124955	0.00124955	0.00133998	0.00133998	0.00517935	0.00517935	0.890884	0.00492823	0.00492823	0.00308591	0.00308591	0.00330924	0.00330924	0.00253611	0.00253611	0.0024833	0.0024833	0.423905	0.00151104	0.00151104	0.0016204	0.0016204	0.00276783	0.00276783	0.00271019	0.00271019	0.00263363	0.00263363	0.28969	0.00176845	0.00176845	0.00146087	0.00146087	0.00143044	0.00143044	0.00139004	0.00139004	0.0008704	0.0008704	0.163964	0.0727644	0.0691667	0.0643879	0.00293488	0.0103845	0.0727644	0.0691667	0.0643879	0.00293488	0.0103845	0.01338302	2.22955	5.50614	2.69613	2.94247	1.55304	2.22955	5.50614	2.69613	2.94247	1.55304	0.381687	0.92389	0.440207	0.30945	0.174268
10	-1000.278	-1009.05	8.77207	0.005339521	0.119403	7.99954e-05	7.99954e-05	8.1088e-05	8.1088e-05	7.88349e-05	7.88349e-05	8.01242e-05	8.01242e-05	0.000197138	0.000197138	0.293322	0.000199514	0.000199514	0.000193971	0.000193971	0.000197143	0.000197143	0.000111312	0.000111312	0.000111136	0.000111136	0.167884	0.000109524	0.000109524	0.000111315	0.000111315	0.000144747	0.000144747	0.000144518	0.000144518	0.000146492	0.000146492	0.212246	0.000144751	0.000144751	0.000158624	0.000158624	0.000158374	0.000158374	0.000160537	0.000160537	0.000156076	0.000156076	0.236398	0.00230798	0.00214624	0.0035414	0.000664465	0.00231071	0.00230798	0.00214624	0.0035414	0.000664465	0.00231071	0.001988767	1.17336	2.88701	1.63012	2.11977	2.32299	1.17336	2.88701	1.63012	2.11977	2.32299	0.120043	0.294898	0.168771	0.213407	0.237665
20	-1003.507	-1012.145	8.637862	0.008865637	0.127815	0.000144057	0.000144057	0.000145342	0.000145342	0.000142708	0.000142708	0.000143594	0.000143594	0.000327807	0.000327807	0.295526	0.000333379	0.000333379	0.000327338	0.000327338	0.00032937	0.00032937	0.000219951	0.000219951	0.000221713	0.000221713	0.200059	0.000219636	0.000219636	0.000221	0.000221	0.000247105	0.000247105	0.000249084	0.000249084	0.000251305	0.000251305	0.220685	0.000248283	0.000248283	0.000264593	0.000264593	0.000266712	0.000266712	0.00026909	0.00026909	0.000264214	0.000264214	0.23777	0.00123889	0.00204988	0.00295974	0.00109407	0.00172166	0.00123889	0.00204988	0.00295974	0.00109407	0.00172166	0.001997616	1.2738	2.9218	1.96046	2.20249	2.35836	1.2738	2.9218	1.96046	2.20249	2.35836	0.128967	0.298162	0.201824	0.222676	0.239899
30	-1003.942	-1011.298	7.35573	0.004567982	0.117389	6.72204e-05	6.72204e-05	6.7731e-05	6.7731e-05	6.63409e-05	6.63409e-05	6.74758e-05	6.74758e-05	0.000180275	0.000180275	0.313736	0.000181332	0.000181332	0.00017761	0.00017761	0.000180648	0.000180648	0.000119791	0.000119791	0.000119585	0.000119585	0.210058	0.00011802	0.00011802	0.000120039	0.000120039	0.000135117	0.000135117	0.000134884	0.000134884	0.000135909	0.000135909	0.232069	0.000135397	0.000135397	0.000120125	0.000120125	0.000119918	0.000119918	0.000120829	0.000120829	0.000118349	0.000118349	0.209849	0.00187002	0.00169461	0.002467	0.000363952	0.00208098	0.00187002	0.00169461	0.002467	0.000363952	0.00208098	0.001626313	1.15763	3.09924	2.05941	2.32289	2.06515	1.15763	3.09924	2.05941	2.32289	2.06515	0.117926	0.315176	0.211013	0.233152	0.210808
40	-1002.767	-1011.695	8.927235	0.004619136	0.149544	8.71416e-05	8.71416e-05	8.6661e-05	8.6661e-05	8.65336e-05	8.65336e-05	8.78821e-05	8.78821e-05	0.000190917	0.000190917	0.330627	0.00019073	0.00019073	0.000190449	0.000190449	0.000193417	0.000193417	0.000139315	0.000139315	0.00013995	0.00013995	0.239933	0.000138974	0.000138974	0.000141139	0.000141139	0.00011994	0.00011994	0.000120486	0.000120486	0.000119822	0.000119822	0.20626	0.00012151	0.00012151	0.000128063	0.000128063	0.000128647	0.000128647	0.000127937	0.000127937	0.000127749	0.000127749	0.223662	0.000912699	0.00137242	0.000813353	0.000665155	0.00223385	0.000912699	0.00137242	0.000813353	0.000665155	0.00223385	0.002213765	1.4888	3.27664	2.39102	2.05848	2.1979	1.4888	3.27664	2.39102	2.05848	2.1979	0.150241	0.332158	0.241052	0.207224	0.224687
50	-998.4946	-1007.346	8.851911	0.0002322373	0.131451	3.77277e-06	3.77277e-06	3.82566e-06	3.82566e-06	3.76455e-06	3.76455e-06	3.78387e-06	3.78387e-06	9.8609e-06	9.8609e-06	0.335681	9.88361e-06	9.88361e-06	9.72574e-06	9.72574e-06	9.77566e-06	9.77566e-06	5.83635e-06	5.83635e-06	5.76893e-06	5.76893e-06	0.201464	5.75635e-06	5.75635e-06	5.7859e-06	5.7859e-06	5.74932e-06	5.74932e-06	5.6829e-06	5.6829e-06	5.76256e-06	5.76256e-06	0.19529	5.69962e-06	5.69962e-06	7.61568e-06	7.61568e-06	7.5277e-06	7.5277e-06	7.63322e-06	7.63322e-06	7.51129e-06	7.51129e-06	0.260013	0.00210903	0.000929369	0.00234414	0.000709403	0.00122634	0.00210903	0.000929369	0.00234414	0.000709403	0.00122634	0.002166279	1.28766	3.32668	1.96895	1.93959	2.56923	1.28766	3.32668	1.96895	1.93959	2.56923	0.131481	0.33576	0.20151	0.195336	0.260074
60	-1005.138	-1016.604	11.46628	0.0002857597	0.139762	4.9808e-06	4.9808e-06	5.09773e-06	5.09773e-06	4.95231e-06	4.95231e-06	4.98159e-06	4.98159e-06	1.15754e-05	1.15754e-05	0.323127	1.18164e-05	1.18164e-05	1.14793e-05	1.14793e-05	1.15472e-05	1.15472e-05	4.81555e-06	4.81555e-06	4.80308e-06	4.80308e-06	0.137582	4.77561e-06	4.77561e-06	4.80385e-06	4.80385e-06	6.75106e-06	6.75106e-06	6.73358e-06	6.73358e-06	6.89166e-06	6.89166e-06	0.187378	6.73465e-06	6.73465e-06	9.38287e-06	9.38287e-06	9.35857e-06	9.35857e-06	9.57827e-06	9.57827e-06	9.30504e-06	9.30504e-06	0.261965	0.00199511	0.00173102	0.0041192	0.00114909	0.00174721	0.00199511	0.00173102	0.0041192	0.00114909	0.00174721	0.003962685	1.37068	3.1772	1.32177	1.85303	2.5754	1.37068	3.1772	1.32177	1.85303	2.5754	0.139802	0.32322	0.137621	0.187433	0.262041
70	-998.5555	-1008.304	9.748176	0.00265262	0.122751	4.03549e-05	4.03549e-05	4.08095e-05	4.08095e-05	4.0098e-05	4.0098e-05	4.05354e-05	4.05354e-05	0.000111401	0.000111401	0.331349	0.000111401	0.000111401	0.000109458	0.000109458	0.000110653	0.000110653	6.28407e-05	6.28407e-05	6.21406e-05	6.21406e-05	0.189017	6.17449e-05	6.17449e-05	6.24184e-05	6.24184e-05	7.05796e-05	7.05796e-05	6.97933e-05	6.97933e-05	7.05794e-05	7.05794e-05	0.208593	7.01054e-05	7.01054e-05	9.0595e-05	9.0595e-05	8.95857e-05	8.95857e-05	9.05947e-05	9.05947e-05	8.90152e-05	8.90152e-05	0.270668	0.00238404	0.00124336	0.00238365	0.000598661	0.00169612	0.00238404	0.00124336	0.00238365	0.000598661	0.00169612	0.002647119	1.20211	3.2815	1.85107	2.07904	2.66862	1.20211	3.2815	1.85107	2.07904	2.66862	0.123074	0.332234	0.189515	0.209156	0.271388
80	-999.3409	-1009.592	10.25147	0.001509597	0.12971	2.45905e-05	2.45905e-05	2.4755e-05	2.4755e-05	2.43373e-05	2.43373e-05	2.46896e-05	2.46896e-05	5.41873e-05	5.41873e-05	0.287631	5.47218e-05	5.47218e-05	5.37983e-05	5.37983e-05	5.4577e-05	5.4577e-05	3.58263e-05	3.58263e-05	3.59391e-05	3.59391e-05	0.191442	3.55691e-05	3.55691e-05	3.6084e-05	3.6084e-05	3.97082e-05	3.97082e-05	3.98333e-05	3.98333e-05	4.00998e-05	4.00998e-05	0.208605	3.99938e-05	3.99938e-05	4.50059e-05	4.50059e-05	4.51476e-05	4.51476e-05	4.54498e-05	4.54498e-05	4.46828e-05	4.46828e-05	0.239858	0.0012593	0.00157819	0.00225799	0.000532316	0.00198753	0.0012593	0.00157819	0.00225799	0.000532316	0.00198753	0.002714842	1.28291	2.83591	1.87498	2.07814	2.35539	1.28291	2.83591	1.87498	2.07814	2.35539	0.129907	0.288066	0.191729	0.208924	0.240219
90	-998.5296	-1008.544	10.01495	0.0002278989	0.124495	3.54067e-06	3.54067e-06	3.57957e-06	3.57957e-06	3.52087e-06	3.52087e-06	3.56841e-06	3.56841e-06	8.94934e-06	8.94934e-06	0.31349	9.03066e-06	9.03066e-06	8.88259e-06	8.88259e-06	9.00252e-06	9.00252e-06	5.04009e-06	5.04009e-06	5.03063e-06	5.03063e-06	0.178491	5.0025e-06	5.0025e-06	5.07004e-06	5.07004e-06	6.05705e-06	6.05705e-06	6.04567e-06	6.04567e-06	6.11209e-06	6.11209e-06	0.210988	6.09304e-06	6.09304e-06	6.50727e-06	6.50727e-06	6.49504e-06	6.49504e-06	6.5664e-06	6.5664e-06	6.45873e-06	6.45873e-06	0.229732	0.00160959	0.00141869	0.00253288	0.000851729	0.00221338	0.00160959	0.00141869	0.00253288	0.000851729	0.00221338	0.002602943	1.2255	3.09175	1.74121	2.09254	2.24808	1.2255	3.09175	1.74121	2.09254	2.24808	0.124523	0.313561	0.178531	0.211037	0.229784
