Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
0	-787.8874	-1008.497	220.6094	0.02668769	0.130073	0.000444274	0.000444274	0.000455987	0.000455987	0.000443828	0.000443828	0.000448421	0.000448421	0.00119979	0.00119979	0.348844	0.00122716	0.00122716	0.00119444	0.00119444	0.0012068	0.0012068	0.000565371	0.000565371	0.000563417	0.000563417	0.168719	0.000562851	0.000562851	0.000568676	0.000568676	0.000708676	0.000708676	0.000706227	0.000706227	0.000724846	0.000724846	0.205844	0.000712819	0.000712819	0.00084082	0.00084082	0.000837913	0.000837913	0.000860005	0.000860005	0.000837072	0.000837072	0.246755	0.000894666	0.000545883	0.00319678	0.000444963	0.00148449	0.00886732	0.0054292	0.0309775	0.00442992	0.0146278	1.32454	3.56463	1.67975	2.10552	2.49812	1.32454	3.56463	1.67975	2.10552	2.49812	0.133658	0.3585	0.173239	0.21155	0.253506
10	-785.3469	-1006.456	221.1091	0.034855	0.139703	0.000640942	0.000640942	0.000636368	0.000636368	0.00062907	0.00062907	0.00063362	0.00063362	0.0012239	0.0012239	0.275547	0.001235	0.001235	0.00122084	0.00122084	0.00122967	0.00122967	0.000887112	0.000887112	0.000901589	0.000901589	0.198297	0.000884889	0.000884889	0.00089129	0.00089129	0.000909669	0.000909669	0.000924515	0.000924515	0.000917917	0.000917917	0.201007	0.000913953	0.000913953	0.00122512	0.00122512	0.00124512	0.00124512	0.00123623	0.00123623	0.00122205	0.00122205	0.27267	0.000731585	0.00237548	0.00164491	0.000479209	0.00120596	0.00726272	0.0232037	0.0161829	0.00476924	0.0119159	1.43697	2.78873	2.02133	2.07273	2.79151	1.43697	2.78873	2.02133	2.07273	2.79151	0.144783	0.285365	0.205427	0.208339	0.282527
20	-795.124	-1010.758	215.6338	0.02397578	0.135002	0.000416768	0.000416768	0.000434753	0.000434753	0.000413858	0.000413858	0.000414672	0.000414672	0.00102082	0.00102082	0.334242	0.00107061	0.00107061	0.00101916	0.00101916	0.00102116	0.00102116	0.000373371	0.000373371	0.000375383	0.000375383	0.127526	0.000372762	0.000372762	0.000373495	0.000373495	0.000687483	0.000687483	0.000691186	0.000691186	0.000721014	0.000721014	0.223527	0.000687712	0.000687712	0.000929589	0.000929589	0.000934596	0.000934596	0.000974928	0.000974928	0.000928072	0.000928072	0.30284	0.000526398	0.00106787	0.00542935	0.00036233	0.000559794	0.00523641	0.0105659	0.0514976	0.00361022	0.00556678	1.37594	3.38834	1.2393	2.28191	3.08552	1.37594	3.38834	1.2393	2.28191	3.08552	0.138362	0.342505	0.130516	0.229102	0.310374
30	-788.9198	-1009.287	220.3668	0.03471254	0.12263	0.000552142	0.000552142	0.00056568	0.00056568	0.000545972	0.000545972	0.000555619	0.000555619	0.00131156	0.00131156	0.292255	0.00134593	0.00134593	0.00129903	0.00129903	0.00132199	0.00132199	0.000721703	0.000721703	0.000722889	0.000722889	0.16476	0.000714812	0.000714812	0.000727442	0.000727442	0.000809262	0.000809262	0.000810592	0.000810592	0.000830467	0.000830467	0.178313	0.000815697	0.000815697	0.00102334	0.00102334	0.00102502	0.00102502	0.00105015	0.00105015	0.00101357	0.00101357	0.229467	0.00139853	0.00156512	0.00405545	0.000430235	0.00220479	0.0137924	0.01541	0.0389739	0.00428392	0.0215723	1.25288	2.98099	1.64033	1.83934	2.3259	1.25288	2.98099	1.64033	1.83934	2.3259	0.127069	0.302812	0.170534	0.184845	0.237691
40	-786.3117	-1007.384	221.072	0.03589322	0.12588	0.000597066	0.000597066	0.000598939	0.000598939	0.000582587	0.000582587	0.000589222	0.000589222	0.00132058	0.00132058	0.289225	0.00135019	0.00135019	0.00131332	0.00131332	0.00132828	0.00132828	0.000733022	0.000733022	0.000747114	0.000747114	0.161046	0.000728996	0.000728996	0.000737298	0.000737298	0.000972193	0.000972193	0.000990882	0.000990882	0.00099399	0.00099399	0.207761	0.000977863	0.000977863	0.00114456	0.00114456	0.00116656	0.00116656	0.00117022	0.00117022	0.00113828	0.00113828	0.247382	0.00104553	0.00298799	0.00331103	0.000490536	0.00163489	0.0103471	0.029013	0.0320491	0.00488141	0.016086	1.29215	2.91289	1.61688	2.14444	2.52464	1.29215	2.91289	1.61688	2.14444	2.52464	0.130615	0.29985	0.166939	0.21563	0.256621
50	-787.8182	-1007.68	219.8616	0.03623384	0.130319	0.0006137	0.0006137	0.000611999	0.000611999	0.000610644	0.000610644	0.000613795	0.000613795	0.00149745	0.00149745	0.319297	0.00149638	0.00149638	0.00149307	0.00149307	0.00150077	0.00150077	0.00109246	0.00109246	0.00109471	0.00109471	0.232295	0.00108926	0.00108926	0.00109488	0.00109488	0.000973848	0.000973848	0.000975855	0.000975855	0.000973151	0.000973151	0.206616	0.000976006	0.000976006	0.00126777	0.00126777	0.00127038	0.00127038	0.00126686	0.00126686	0.00126406	0.00126406	0.270364	0.000669072	0.000876587	0.000597062	0.000374277	0.000892152	0.00664626	0.0086897	0.00593518	0.00372881	0.00884263	1.3432	3.28422	2.39598	2.13585	2.78048	1.3432	3.28422	2.39598	2.13585	2.78048	0.13522	0.331272	0.241038	0.214414	0.280502
60	-789.6885	-1009.466	219.7777	0.01630112	0.122405	0.000250117	0.000250117	0.000254404	0.000254404	0.000245789	0.000245789	0.000247292	0.000247292	0.000639956	0.000639956	0.304766	0.000642112	0.000642112	0.000620369	0.000620369	0.000624163	0.000624163	0.000412529	0.000412529	0.000406945	0.000406945	0.199825	0.000399903	0.000399903	0.000402348	0.000402348	0.000428532	0.000428532	0.000422731	0.000422731	0.000429975	0.000429975	0.200547	0.000417956	0.000417956	0.000549124	0.000549124	0.000541691	0.000541691	0.000550974	0.000550974	0.000532317	0.000532317	0.258555	0.00337779	0.0019784	0.00372602	0.000213619	0.000826549	0.0326742	0.0194001	0.0359218	0.00213163	0.00819773	1.20367	3.03805	1.95839	2.03436	2.60685	1.20367	3.03805	1.95839	2.03436	2.60685	0.1244	0.309819	0.203068	0.203946	0.262903
70	-786.6326	-1010.206	223.5729	0.03055683	0.157715	0.000623824	0.000623824	0.000622721	0.000622721	0.000620741	0.000620741	0.000624306	0.000624306	0.00132056	0.00132056	0.336478	0.00132338	0.00132338	0.00131917	0.00131917	0.00132675	0.00132675	0.000971918	0.000971918	0.000975715	0.000975715	0.247206	0.000970894	0.000970894	0.00097647	0.00097647	0.000840254	0.000840254	0.000843536	0.000843536	0.000842046	0.000842046	0.213038	0.000844189	0.000844189	0.00102495	0.00102495	0.00102896	0.00102896	0.00102714	0.00102714	0.00102387	0.00102387	0.261359	0.000431648	0.000824019	0.000645834	0.000325798	0.000902017	0.00429793	0.00817284	0.0064169	0.0032474	0.00893954	1.61987	3.44247	2.53362	2.19039	2.67187	1.61987	3.44247	2.53362	2.19039	2.67187	0.162698	0.347058	0.254996	0.219778	0.269569
80	-784.9845	-1008.774	223.7893	0.02102734	0.124445	0.000334663	0.000334663	0.000333721	0.000333721	0.000331726	0.000331726	0.000336077	0.000336077	0.00087197	0.00087197	0.325301	0.000870933	0.000870933	0.000865729	0.000865729	0.000877083	0.000877083	0.000578994	0.000578994	0.000579939	0.000579939	0.215394	0.00057485	0.00057485	0.00058239	0.00058239	0.000603282	0.000603282	0.000604266	0.000604266	0.000602565	0.000602565	0.223088	0.00060682	0.00060682	0.000624017	0.000624017	0.000625035	0.000625035	0.000623275	0.000623275	0.00061955	0.00061955	0.233782	0.000886386	0.00105104	0.000766484	0.000164284	0.00147805	0.00878599	0.0104011	0.00760654	0.00164015	0.0145652	1.26001	3.28832	2.18347	2.27506	2.35326	1.26001	3.28832	2.18347	2.27506	2.35326	0.127117	0.332273	0.220027	0.227922	0.238766
90	-788.0362	-1007.724	219.6879	0.02966543	0.132742	0.000509476	0.000509476	0.000513934	0.000513934	0.000502879	0.000502879	0.00050838	0.00050838	0.00126714	0.00126714	0.333014	0.00128377	0.00128377	0.00125615	0.00125615	0.00126989	0.00126989	0.000693418	0.000693418	0.00069642	0.00069642	0.18383	0.000687403	0.000687403	0.000694922	0.000694922	0.000814949	0.000814949	0.000818476	0.000818476	0.000825639	0.000825639	0.211401	0.000816716	0.000816716	0.000956232	0.000956232	0.000960371	0.000960371	0.000968776	0.000968776	0.000947936	0.000947936	0.250764	0.0011281	0.00156587	0.00245474	0.000250747	0.00134738	0.0111551	0.0154173	0.0239593	0.0025012	0.0132947	1.35274	3.37904	1.84911	2.17319	2.54994	1.35274	3.37904	1.84911	2.17319	2.54994	0.136811	0.343168	0.189374	0.217952	0.25843
