Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
0	-789.4887	-1009.711	220.2221	0.02668119	0.114064	0.000390785	0.000390785	0.000396585	0.000396585	0.000388522	0.000388522	0.000394442	0.000394442	0.00114413	0.00114413	0.333844	0.00116092	0.00116092	0.00113732	0.00113732	0.00115465	0.00115465	0.000690178	0.000690178	0.000690063	0.000690063	0.204375	0.000686068	0.000686068	0.000696522	0.000696522	0.00061457	0.00061457	0.000614467	0.000614467	0.000623588	0.000623588	0.178286	0.000620219	0.000620219	0.000819313	0.000819313	0.000819176	0.000819176	0.000831336	0.000831336	0.000814434	0.000814434	0.241303	0.000933041	0.000916129	0.00241411	0.00033191	0.00186075	0.00924416	0.00907812	0.0235721	0.00330812	0.0182676	1.16108	3.39881	2.05028	1.82567	2.43389	1.16108	3.39881	2.05028	1.82567	2.43389	0.117205	0.343038	0.209901	0.183232	0.247872
10	-785.9594	-1007.286	221.3266	0.02015699	0.130903	0.000340075	0.000340075	0.000348131	0.000348131	0.000336398	0.000336398	0.000339173	0.000339173	0.00079972	0.00079972	0.314199	0.000827089	0.000827089	0.000799215	0.000799215	0.000805806	0.000805806	0.000398703	0.000398703	0.000402806	0.000402806	0.160356	0.000398451	0.000398451	0.000401737	0.000401737	0.000532703	0.000532703	0.000538185	0.000538185	0.000550934	0.000550934	0.207029	0.000536757	0.000536757	0.000681272	0.000681272	0.000688282	0.000688282	0.000704587	0.000704587	0.000680842	0.000680842	0.266952	0.000398196	0.00143129	0.00383415	0.000334769	0.00116219	0.00396616	0.014111	0.0369258	0.00333652	0.0114884	1.33066	3.16138	1.57612	2.10583	2.69314	1.33066	3.16138	1.57612	2.10583	2.69314	0.13363	0.320663	0.163559	0.211346	0.272462
20	-793.1713	-1008.602	215.4305	0.04273871	0.118599	0.000660216	0.000660216	0.00065932	0.00065932	0.00065128	0.00065128	0.000663375	0.000663375	0.00169057	0.00169057	0.302158	0.00168401	0.00168401	0.00166348	0.00166348	0.00169437	0.00169437	0.00103389	0.00103389	0.00103128	0.00103128	0.184537	0.00101732	0.00101732	0.00103621	0.00103621	0.00122056	0.00122056	0.00121748	0.00121748	0.00121583	0.00121583	0.2152	0.00122331	0.00122331	0.00132774	0.00132774	0.00132439	0.00132439	0.00132259	0.00132259	0.00130646	0.00130646	0.238444	0.00190997	0.00165271	0.00151474	0.000276795	0.00213905	0.0187418	0.0162584	0.0149214	0.00276031	0.0209425	1.21573	3.10516	1.899	2.24188	2.43874	1.21573	3.10516	1.899	2.24188	2.43874	0.123868	0.315623	0.192775	0.224955	0.249007
30	-789.9603	-1009.704	219.7437	0.02238543	0.131678	0.000382344	0.000382344	0.000383455	0.000383455	0.00037713	0.00037713	0.000377913	0.000377913	0.000849917	0.000849917	0.301232	0.000864708	0.000864708	0.000850444	0.000850444	0.000852211	0.000852211	0.000518368	0.000518368	0.000525862	0.000525862	0.184257	0.00051869	0.00051869	0.000519768	0.000519768	0.000597206	0.000597206	0.000605839	0.000605839	0.000607599	0.000607599	0.208778	0.000598818	0.000598818	0.000856011	0.000856011	0.000868385	0.000868385	0.000870908	0.000870908	0.000856542	0.000856542	0.299877	0.000254241	0.00170347	0.00199896	0.0003164	0.000524882	0.00253596	0.0167493	0.0195978	0.00315402	0.00522141	1.34352	3.02969	1.84782	2.12885	3.05141	1.34352	3.02969	1.84782	2.12885	3.05141	0.13472	0.308067	0.188422	0.213597	0.30678
40	-795.0302	-1014.277	219.2471	0.0535638	0.131975	0.000943366	0.000943366	0.000928141	0.000928141	0.000921833	0.000921833	0.000932404	0.000932404	0.00202762	0.00202762	0.289597	0.00201566	0.00201566	0.00200197	0.00200197	0.00202492	0.00202492	0.00157754	0.00157754	0.00159396	0.00159396	0.221678	0.00155758	0.00155758	0.00157544	0.00157544	0.00150262	0.00150262	0.00151826	0.00151826	0.00149376	0.00149376	0.209715	0.00150062	0.00150062	0.00166649	0.00166649	0.00168383	0.00168383	0.00165666	0.00165666	0.0016454	0.0016454	0.235252	0.0016212	0.00267898	0.00102194	0.000335351	0.00148593	0.0159534	0.0260908	0.010116	0.00334231	0.0146417	1.3722	2.98003	2.31854	2.20843	2.44927	1.3722	2.98003	2.31854	2.20843	2.44927	0.139427	0.305737	0.234287	0.221745	0.248557
50	-786.7925	-1008.464	221.6717	0.04264961	0.121777	0.000683511	0.000683511	0.000682091	0.000682091	0.000673338	0.000673338	0.000681722	0.000681722	0.00166737	0.00166737	0.301789	0.00167708	0.00167708	0.00165556	0.00165556	0.00167618	0.00167618	0.00122208	0.00122208	0.00123176	0.00123176	0.220734	0.00121343	0.00121343	0.00122854	0.00122854	0.00115584	0.00115584	0.001165	0.001165	0.00116258	0.00116258	0.20609	0.00116195	0.00116195	0.00139407	0.00139407	0.00140512	0.00140512	0.0014022	0.0014022	0.0013842	0.0013842	0.251663	0.000921595	0.00172085	0.00150951	0.000206913	0.00145466	0.00913179	0.0169174	0.0148706	0.00206486	0.0143381	1.26041	3.099	2.27139	2.14827	2.59106	1.26041	3.099	2.27139	2.14827	2.59106	0.127218	0.315141	0.230526	0.215381	0.262834
60	-791.4234	-1007.569	216.1461	0.04468251	0.127911	0.000753352	0.000753352	0.000767367	0.000767367	0.000745808	0.000745808	0.000752916	0.000752916	0.00172571	0.00172571	0.297344	0.00177078	0.00177078	0.00172103	0.00172103	0.00173743	0.00173743	0.000975894	0.000975894	0.000983093	0.000983093	0.171277	0.000973248	0.000973248	0.000982524	0.000982524	0.00132164	0.00132164	0.00133139	0.00133139	0.00135616	0.00135616	0.225442	0.00133062	0.00133062	0.00137864	0.00137864	0.00138881	0.00138881	0.00141465	0.00141465	0.00137491	0.00137491	0.237406	0.000654104	0.00139655	0.00328293	0.000381221	0.00133792	0.00649853	0.0137732	0.0317858	0.00379773	0.0132026	1.33023	3.06965	1.7359	2.35091	2.4523	1.33023	3.06965	1.7359	2.35091	2.4523	0.133949	0.311254	0.179107	0.236122	0.248521
70	-788.6514	-1007.287	218.6351	0.03168878	0.145598	0.000602073	0.000602073	0.000609485	0.000609485	0.0005955	0.0005955	0.000599999	0.000599999	0.00126674	0.00126674	0.313026	0.00129627	0.00129627	0.00126652	0.00126652	0.00127609	0.00127609	0.00084016	0.00084016	0.000849287	0.000849287	0.210168	0.000840015	0.000840015	0.000846361	0.000846361	0.000803048	0.000803048	0.000811772	0.000811772	0.000821765	0.000821765	0.196275	0.000808975	0.000808975	0.00101232	0.00101232	0.00102332	0.00102332	0.00103592	0.00103592	0.00101215	0.00101215	0.249294	0.000325831	0.00141568	0.00266405	0.000308447	0.00106621	0.00324773	0.0139592	0.0259492	0.00307499	0.0105496	1.49875	3.18757	2.11414	2.02075	2.54737	1.49875	3.18757	2.11414	2.02075	2.54737	0.150412	0.323237	0.21692	0.202767	0.257462
80	-792.6209	-1013.457	220.8362	0.0275812	0.116524	0.000414234	0.000414234	0.000412266	0.000412266	0.000407811	0.000407811	0.00041543	0.00041543	0.00109905	0.00109905	0.310819	0.00109675	0.00109675	0.0010849	0.0010849	0.00110517	0.00110517	0.000728534	0.000728534	0.000730486	0.000730486	0.205056	0.000719158	0.000719158	0.000732594	0.000732594	0.000816952	0.000816952	0.00081914	0.00081914	0.000815247	0.000815247	0.227458	0.000821505	0.000821505	0.000714682	0.000714682	0.000716596	0.000716596	0.00071319	0.00071319	0.000705484	0.000705484	0.202701	0.00168143	0.00195381	0.00146923	0.000372847	0.00224812	0.0165362	0.0191636	0.0144796	0.00371462	0.0219869	1.17847	3.1351	2.07819	2.33041	2.03867	1.17847	3.1351	2.07819	2.33041	2.03867	0.119823	0.319591	0.210878	0.234004	0.208401
90	-790.4892	-1012.214	221.7247	0.03568842	0.122373	0.000575486	0.000575486	0.000578617	0.000578617	0.000565259	0.000565259	0.000569082	0.000569082	0.00124629	0.00124629	0.27386	0.00127381	0.00127381	0.0012444	0.0012444	0.00125282	0.00125282	0.00100157	0.00100157	0.00101815	0.00101815	0.221283	0.00100006	0.00100006	0.00100682	0.00100682	0.0010044	0.0010044	0.00102103	0.00102103	0.00102659	0.00102659	0.216786	0.00100967	0.00100967	0.00123217	0.00123217	0.00125257	0.00125257	0.00125938	0.00125938	0.00123031	0.00123031	0.267745	0.000579862	0.00224496	0.0028012	0.000427886	0.00110723	0.00576519	0.0219567	0.0272487	0.00426063	0.0109511	1.2617	2.7776	2.2322	2.23852	2.74613	1.2617	2.7776	2.2322	2.23852	2.74613	0.126949	0.283895	0.229337	0.22491	0.277693
