Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
0	-1026.694	-1226.184	199.4902	0.006584931	0.230047	0.000178632	0.000178632	0.000180021	0.000180021	0.000162833	0.000162833	0.000171813	0.000171813	0.000383043	0.000383043	0.43324	0.000361763	0.000361763	0.000327223	0.000327223	0.000345267	0.000345267	0.000218493	0.000218493	0.000204762	0.000204762	0.249048	0.000186652	0.000186652	0.000196945	0.000196945	0.000251363	0.000251363	0.000235567	0.000235567	0.000237399	0.000237399	0.25916	0.000226574	0.000226574	0.000110583	0.000110583	0.000103633	0.000103633	0.000104439	0.000104439	9.44676e-05	9.44676e-05	0.1203	1.96836	3.95554	2.25629	2.59573	1.14194	1.96836	3.95554	2.25629	2.59573	1.14194	0.231434	0.436075	0.250662	0.261061	0.121126
10	-846.9891	-1042.46	195.4711	0.01998502	0.120732	0.000288414	0.000288414	0.000290657	0.000290657	0.000262906	0.000262906	0.000277404	0.000277404	0.000596677	0.000596677	0.219366	0.000563528	0.000563528	0.000509724	0.000509724	0.000537832	0.000537832	0.00050018	0.00050018	0.000468746	0.000468746	0.185319	0.000427289	0.000427289	0.000450851	0.000450851	0.000514938	0.000514938	0.000482577	0.000482577	0.00048633	0.00048633	0.172571	0.000464154	0.000464154	0.00053118	0.00053118	0.000497798	0.000497798	0.00050167	0.00050167	0.000453772	0.000453772	0.187831	1.04715	2.03022	1.70189	1.7521	1.80736	1.04715	2.03022	1.70189	1.7521	1.80736	0.122971	0.223781	0.189013	0.176467	0.1918
20	-838.2146	-1043.144	204.9295	0.01787848	0.114215	0.000243561	0.000243561	0.000245456	0.000245456	0.00022202	0.00022202	0.000234263	0.000234263	0.000569146	0.000569146	0.234401	0.000537527	0.000537527	0.000486205	0.000486205	0.000513016	0.000513016	0.000311633	0.000311633	0.000292049	0.000292049	0.129344	0.000266219	0.000266219	0.0002809	0.0002809	0.000486275	0.000486275	0.000455715	0.000455715	0.00045926	0.00045926	0.182559	0.000438318	0.000438318	0.000525506	0.000525506	0.000492481	0.000492481	0.000496311	0.000496311	0.000448925	0.000448925	0.208166	0.988497	2.16472	1.18528	1.84953	1.99874	0.988497	2.16472	1.18528	1.84953	1.99874	0.116105	0.238613	0.131645	0.186238	0.212092
30	-840.1975	-1041.795	201.598	0.02150786	0.123462	0.000317904	0.000317904	0.000320377	0.000320377	0.000289788	0.000289788	0.000305768	0.000305768	0.000633632	0.000633632	0.216122	0.00059843	0.00059843	0.000541293	0.000541293	0.000571142	0.000571142	0.000415979	0.000415979	0.000389837	0.000389837	0.142987	0.000355359	0.000355359	0.000374954	0.000374954	0.000543127	0.000543127	0.000508994	0.000508994	0.000512953	0.000512953	0.168868	0.000489563	0.000489563	0.000574432	0.000574432	0.000538333	0.000538333	0.00054252	0.00054252	0.000490721	0.000490721	0.18845	1.0725	2.00331	1.31517	1.71717	1.81615	1.0725	2.00331	1.31517	1.71717	1.81615	0.12593	0.220811	0.14606	0.172977	0.192742
40	-844.181	-1042.803	198.6221	0.01792425	0.12725	0.000272067	0.000272067	0.000274183	0.000274183	0.000248005	0.000248005	0.00026168	0.00026168	0.000575083	0.000575083	0.236231	0.000543134	0.000543134	0.000491277	0.000491277	0.000518367	0.000518367	0.000344417	0.000344417	0.000322772	0.000322772	0.142579	0.000294225	0.000294225	0.00031045	0.00031045	0.000462344	0.000462344	0.000433288	0.000433288	0.000436658	0.000436658	0.173123	0.000416747	0.000416747	0.000492018	0.000492018	0.000461097	0.000461097	0.000464683	0.000464683	0.000420317	0.000420317	0.194394	1.10137	2.18172	1.30663	1.75401	1.86659	1.10137	2.18172	1.30663	1.75401	1.86659	0.129362	0.240486	0.145122	0.176621	0.19807
50	-838.3893	-1042.867	204.4778	0.02615575	0.1299	0.000408704	0.000408704	0.000411883	0.000411883	0.000372557	0.000372557	0.000393101	0.000393101	0.000806314	0.000806314	0.225075	0.000761518	0.000761518	0.000688811	0.000688811	0.000726794	0.000726794	0.000546119	0.000546119	0.000511798	0.000511798	0.15363	0.000466534	0.000466534	0.00049226	0.00049226	0.000682992	0.000682992	0.000640069	0.000640069	0.000645048	0.000645048	0.173789	0.000615634	0.000615634	0.00070014	0.00070014	0.00065614	0.00065614	0.000661243	0.000661243	0.000598109	0.000598109	0.187977	1.13381	2.09626	1.41981	1.77565	1.82023	1.13381	2.09626	1.41981	1.77565	1.82023	0.133073	0.231042	0.157663	0.178957	0.193208
60	-832.5227	-1042.197	209.6744	0.02669096	0.114086	0.000366494	0.000366494	0.000369344	0.000369344	0.00033408	0.00033408	0.000352502	0.000352502	0.000797171	0.000797171	0.217941	0.000752883	0.000752883	0.000681	0.000681	0.000718553	0.000718553	0.000478348	0.000478348	0.000448286	0.000448286	0.131794	0.000408639	0.000408639	0.000431172	0.000431172	0.000685332	0.000685332	0.000642262	0.000642262	0.000647258	0.000647258	0.170794	0.000617743	0.000617743	0.00067872	0.00067872	0.000636066	0.000636066	0.000641013	0.000641013	0.000579811	0.000579811	0.178474	0.996322	2.03094	1.21868	1.74601	1.72916	0.996322	2.03094	1.21868	1.74601	1.72916	0.116931	0.223841	0.135327	0.175979	0.183545
70	-833.6112	-1042.124	208.5131	0.02629791	0.117036	0.000370287	0.000370287	0.000373167	0.000373167	0.000337538	0.000337538	0.00035615	0.00035615	0.000758281	0.000758281	0.210492	0.000716154	0.000716154	0.000647777	0.000647777	0.000683498	0.000683498	0.000546046	0.000546046	0.00051173	0.00051173	0.152757	0.000466472	0.000466472	0.000492194	0.000492194	0.000680089	0.000680089	0.000637349	0.000637349	0.000642306	0.000642306	0.17209	0.000613018	0.000613018	0.000724486	0.000724486	0.000678956	0.000678956	0.000684237	0.000684237	0.000618908	0.000618908	0.193434	1.02168	1.96073	1.41194	1.75855	1.87334	1.02168	1.96073	1.41194	1.75855	1.87334	0.119911	0.216104	0.15679	0.177236	0.198847
80	-836.2152	-1044.078	207.8625	0.02862458	0.127832	0.000441279	0.000441279	0.000444711	0.000444711	0.000402251	0.000402251	0.000424432	0.000424432	0.000897938	0.000897938	0.228452	0.000848052	0.000848052	0.000767082	0.000767082	0.000809382	0.000809382	0.000551141	0.000551141	0.000516505	0.000516505	0.141311	0.000470824	0.000470824	0.000496787	0.000496787	0.0007276	0.0007276	0.000681874	0.000681874	0.000687178	0.000687178	0.168743	0.000655843	0.000655843	0.000822657	0.000822657	0.000770958	0.000770958	0.000776954	0.000776954	0.000702773	0.000702773	0.201309	1.11859	2.13312	1.30928	1.72847	1.95429	1.11859	2.13312	1.30928	1.72847	1.95429	0.131257	0.235097	0.145382	0.174248	0.207456
90	-834.0213	-1042.923	208.9017	0.02849549	0.106626	0.000366368	0.000366368	0.000369217	0.000369217	0.000333965	0.000333965	0.000352381	0.000352381	0.000875657	0.000875657	0.223823	0.000827009	0.000827009	0.000748049	0.000748049	0.000789298	0.000789298	0.000513778	0.000513778	0.00048149	0.00048149	0.132346	0.000438906	0.000438906	0.000463108	0.000463108	0.000766103	0.000766103	0.000717958	0.000717958	0.000723542	0.000723542	0.178502	0.000690549	0.000690549	0.000817067	0.000817067	0.000765719	0.000765719	0.000771674	0.000771674	0.000697997	0.000697997	0.200874	0.932907	2.08962	1.22605	1.82819	1.9498	0.932907	2.08962	1.22605	1.82819	1.9498	0.10947	0.230303	0.13614	0.184298	0.206979
