Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
0	-1400.85	-1617.305	216.4547	0.5097867	0.196119	0.022411	0.022411	0.0217888	0.0217888	0.0217496	0.0217496	0.0218932	0.0218932	0.00909094	0.00909094	0.0614786	0.00776978	0.00776978	0.00775579	0.00775579	0.00780699	0.00780699	0.0117535	0.0117535	0.0103323	0.0103323	0.0772777	0.0100273	0.0100273	0.0100935	0.0100935	0.0689896	0.0689896	0.0606474	0.0606474	0.0589636	0.0589636	0.45278	0.0592459	0.0592459	0.0224588	0.0224588	0.0197431	0.0197431	0.019195	0.019195	0.0191604	0.0191604	0.148371	0.0172202	0.00304596	0.00018497	4.57451e-06	0.000664727	0.146905	0.0295593	0.00184629	4.5743e-05	0.00660338	3.41297	1.21705	1.5735	9.23597	3.00667	3.41297	1.21705	1.5735	9.23597	3.00667	0.371804	0.126326	0.161691	0.948473	0.309485
10	-799.3434	-1013.913	214.5692	0.03295866	0.14459	0.000633174	0.000633174	0.000645204	0.000645204	0.000616284	0.000616284	0.000631153	0.000631153	0.00106243	0.00106243	0.256342	0.00111283	0.00111283	0.00106295	0.00106295	0.00108859	0.00108859	0.000678148	0.000678148	0.00069707	0.00069707	0.166731	0.000678475	0.000678475	0.000694845	0.000694845	0.000816578	0.000816578	0.000839363	0.000839363	0.00085531	0.00085531	0.191766	0.000836683	0.000836683	0.000979581	0.000979581	0.00100691	0.00100691	0.00102604	0.00102604	0.000980053	0.000980053	0.235597	0.000432191	0.0032345	0.00519584	0.000480624	0.00290496	0.00430331	0.0313315	0.0493921	0.00478325	0.0282295	1.48874	2.56773	1.63897	1.97354	2.36749	1.48874	2.56773	1.63897	1.97354	2.36749	0.149641	0.264995	0.172228	0.198462	0.243582
20	-784.9513	-1010.615	225.664	0.03379319	0.136754	0.000602021	0.000602021	0.000622653	0.000622653	0.000596301	0.000596301	0.000597334	0.000597334	0.00129732	0.00129732	0.2988	0.00135109	0.00135109	0.00129391	0.00129391	0.00129615	0.00129615	0.000662669	0.000662669	0.000667268	0.000667268	0.157858	0.000660928	0.000660928	0.000662073	0.000662073	0.000933053	0.000933053	0.000939528	0.000939528	0.000971727	0.000971727	0.21286	0.000932214	0.000932214	0.00123926	0.00123926	0.00124786	0.00124786	0.00129063	0.00129063	0.00123601	0.00123601	0.283207	0.000635515	0.00133386	0.00480669	0.000371058	0.000544945	0.00631502	0.013163	0.0458625	0.00369686	0.00541991	1.40643	3.0518	1.55886	2.19491	2.91523	1.40643	3.0518	1.55886	2.19491	2.91523	0.14159	0.309277	0.163163	0.220413	0.293234
30	-780.3822	-1006.309	225.9263	0.02922667	0.122901	0.000465662	0.000465662	0.000464394	0.000464394	0.000459692	0.000459692	0.000466634	0.000466634	0.00114594	0.00114594	0.306573	0.00115059	0.00115059	0.00113894	0.00113894	0.00115614	0.00115614	0.00081987	0.00081987	0.000825446	0.000825446	0.218743	0.000814864	0.000814864	0.000827169	0.000827169	0.000786005	0.000786005	0.000791351	0.000791351	0.000789197	0.000789197	0.207584	0.000793003	0.000793003	0.000896565	0.000896565	0.000902662	0.000902662	0.000900206	0.000900206	0.000891091	0.000891091	0.240358	0.000935404	0.00162186	0.0013453	0.000319138	0.00183395	0.00926735	0.0159598	0.0132744	0.00318123	0.0180092	1.25428	3.10762	2.22337	2.13154	2.43136	1.25428	3.10762	2.22337	2.13154	2.43136	0.126614	0.315756	0.225317	0.213903	0.247539
40	-789.6221	-1006.22	216.5979	0.01697516	0.140948	0.000306388	0.000306388	0.000308842	0.000308842	0.000304515	0.000304515	0.000305948	0.000305948	0.000721083	0.000721083	0.336418	0.000731986	0.000731986	0.000721731	0.000721731	0.000725127	0.000725127	0.000481152	0.000481152	0.000484547	0.000484547	0.226277	0.000481584	0.000481584	0.00048385	0.00048385	0.000448698	0.000448698	0.000451864	0.000451864	0.000455482	0.000455482	0.208058	0.000451214	0.000451214	0.000633231	0.000633231	0.000637699	0.000637699	0.000642805	0.000642805	0.0006338	0.0006338	0.295006	0.000255345	0.000962732	0.00177118	0.000345463	0.000817551	0.00254695	0.00953551	0.0174036	0.00344273	0.00810921	1.43017	3.38964	2.26178	2.10923	2.97667	1.43017	3.38964	2.26178	2.10923	2.97667	0.143399	0.342218	0.230139	0.211673	0.300102
50	-798.4501	-1012.523	214.0732	0.02860014	0.122301	0.000451851	0.000451851	0.000465554	0.000465554	0.000447229	0.000447229	0.000459423	0.000459423	0.00118857	0.00118857	0.324211	0.00122937	0.00122937	0.00118098	0.00118098	0.00121318	0.00121318	0.000695832	0.000695832	0.000698537	0.000698537	0.195562	0.000691391	0.000691391	0.000710243	0.000710243	0.00088993	0.00088993	0.00089339	0.00089339	0.000920482	0.000920482	0.240267	0.00090836	0.00090836	0.000820389	0.000820389	0.000823578	0.000823578	0.000848554	0.000848554	0.000815153	0.000815153	0.227532	0.00083315	0.00122509	0.00429481	0.000189504	0.00292134	0.00826266	0.0121027	0.0411796	0.00189146	0.0283842	1.24862	3.29717	1.93029	2.46874	2.27582	1.24862	3.29717	1.93029	2.46874	2.27582	0.125949	0.333835	0.201154	0.247492	0.234147
60	-785.0357	-1008.2	223.1646	0.03222794	0.137254	0.000578021	0.000578021	0.000574627	0.000574627	0.000570524	0.000570524	0.0005817	0.0005817	0.00130424	0.00130424	0.316983	0.00131174	0.00131174	0.00130238	0.00130238	0.00132789	0.00132789	0.00102735	0.00102735	0.00103936	0.00103936	0.248223	0.00102589	0.00102589	0.00104598	0.00104598	0.000872107	0.000872107	0.000882305	0.000882305	0.000877125	0.000877125	0.209209	0.000887921	0.000887921	0.000956239	0.000956239	0.000967421	0.000967421	0.000961742	0.000961742	0.000954875	0.000954875	0.233885	0.000491809	0.00166696	0.00107007	0.00034847	0.00231409	0.00489402	0.0163962	0.0105874	0.0034726	0.0226175	1.41131	3.22169	2.53773	2.15425	2.36207	1.41131	3.22169	2.53773	2.15425	2.36207	0.141864	0.327476	0.2565	0.216248	0.241565
70	-790.8622	-1007.998	217.136	0.03329907	0.12459	0.000537443	0.000537443	0.00055359	0.00055359	0.000532176	0.000532176	0.00053824	0.00053824	0.00134939	0.00134939	0.313971	0.0013925	0.0013925	0.00133863	0.00133863	0.00135389	0.00135389	0.000635787	0.000635787	0.00063696	0.00063696	0.152376	0.000630717	0.000630717	0.000637905	0.000637905	0.000926727	0.000926727	0.000928437	0.000928437	0.00095633	0.00095633	0.213513	0.000929814	0.000929814	0.00110202	0.00110202	0.00110405	0.00110405	0.00113722	0.00113722	0.00109323	0.00109323	0.256793	0.00116306	0.00134965	0.00439458	0.000356348	0.00150001	0.0114968	0.0133167	0.0420958	0.00355083	0.0147784	1.274	3.20461	1.5099	2.20084	2.61712	1.274	3.20461	1.5099	2.20084	2.61712	0.128913	0.324839	0.157459	0.220996	0.265666
80	-783.4767	-1005.805	222.3278	0.03100346	0.138126	0.00055603	0.00055603	0.000556893	0.000556893	0.000552789	0.000552789	0.000561665	0.000561665	0.00124932	0.00124932	0.314415	0.00125943	0.00125943	0.00125015	0.00125015	0.00127022	0.00127022	0.000841496	0.000841496	0.000846989	0.000846989	0.212106	0.000842052	0.000842052	0.000855574	0.000855574	0.000811124	0.000811124	0.000816419	0.000816419	0.000817687	0.000817687	0.202944	0.000824694	0.000824694	0.000980288	0.000980288	0.000986687	0.000986687	0.000988219	0.000988219	0.000980936	0.000980936	0.249208	0.000402634	0.00105807	0.00121494	0.000469009	0.00208232	0.00401019	0.0104699	0.0120035	0.00466819	0.0203985	1.41973	3.21077	2.16265	2.0846	2.51935	1.41973	3.21077	2.16265	2.0846	2.51935	0.14258	0.324473	0.218879	0.209484	0.25708
90	-781.7574	-1005.486	223.7283	0.03481034	0.129392	0.000588332	0.000588332	0.000592319	0.000592319	0.00057933	0.00057933	0.000587571	0.000587571	0.00133759	0.00133759	0.299245	0.00135821	0.00135821	0.00132842	0.00132842	0.00134732	0.00134732	0.000751448	0.000751448	0.000757894	0.000757894	0.169253	0.000746297	0.000746297	0.000756914	0.000756914	0.000942434	0.000942434	0.000950518	0.000950518	0.000956961	0.000956961	0.207615	0.000949289	0.000949289	0.00115431	0.00115431	0.00116421	0.00116421	0.0011721	0.0011721	0.0011464	0.0011464	0.257908	0.00096987	0.00183597	0.00252617	0.000277762	0.00170425	0.00960554	0.0180287	0.0246393	0.00276992	0.0167569	1.32771	3.04448	1.71037	2.14507	2.62732	1.32771	3.04448	1.71037	2.14507	2.62732	0.134087	0.309988	0.175278	0.215213	0.267182
100	-784.5948	-1006.157	221.562	0.0252503	0.133996	0.000437185	0.000437185	0.000448137	0.000448137	0.000432998	0.000432998	0.000436452	0.000436452	0.000983499	0.000983499	0.30604	0.0010158	0.0010158	0.000981484	0.000981484	0.000989313	0.000989313	0.000550897	0.000550897	0.000555084	0.000555084	0.17572	0.000549769	0.000549769	0.000554154	0.000554154	0.000689764	0.000689764	0.000695007	0.000695007	0.000712418	0.000712418	0.212582	0.000693842	0.000693842	0.000843	0.000843	0.000849408	0.000849408	0.000870687	0.000870687	0.000841274	0.000841274	0.261881	0.00068874	0.00145404	0.00399569	0.000482531	0.00128401	0.00684029	0.0143321	0.0384217	0.00480214	0.0126773	1.36527	3.09468	1.73346	2.17042	2.65259	1.36527	3.09468	1.73346	2.17042	2.65259	0.137506	0.313981	0.18014	0.218164	0.26869
