Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	delta[1]	delta[2]	delta[3]	delta[4]	delta[5]	delta_prop[1]	delta_prop[2]	delta_prop[3]	delta_prop[4]	delta_prop[5]	ma_base_rate[1]	ma_base_rate[2]	ma_base_rate[3]	ma_base_rate[4]	ma_base_rate[5]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
0	-1378.976	-1423.595	44.61855	0.7680842	0.0796777	0.0347651	0.0347651	0.0355114	0.0355114	0.0330331	0.0330331	0.0335422	0.0335422	0.0849307	0.0849307	0.21622	0.0914339	0.0914339	0.0850529	0.0850529	0.0863637	0.0863637	0.00952184	0.00952184	0.0100355	0.0100355	0.0247614	0.00953554	0.00953554	0.0096825	0.0096825	0.0462341	0.0462341	0.0487283	0.0487283	0.0497743	0.0497743	0.11184	0.0470142	0.0470142	0.00659518	0.00659518	0.00695097	0.00695097	0.00710017	0.00710017	0.00660466	0.00660466	0.0161996	5.43458e-05	0.00545198	0.00771558	0.000198294	0.00174253	0.000543163	0.0517011	0.0716292	0.00197902	0.0171268	1.06848e-05	0.000232437	0.000788933	9.8138e-05	0.000103962	3.43376	8.84118	0.991211	4.81291	0.686549	3.43376	8.84118	0.991211	4.81291	0.686549	0.353381	0.911782	0.102312	0.495342	0.0707016
10	-971.7496	-1020.819	49.06976	0.04561157	0.112906	0.000705187	0.000705187	0.000689025	0.000689025	0.00066903	0.00066903	0.000686666	0.000686666	0.0013323	0.0013323	0.233167	0.001361	0.001361	0.00132151	0.00132151	0.00135634	0.00135634	0.000947105	0.000947105	0.000990201	0.000990201	0.161955	0.000939431	0.000939431	0.000964194	0.000964194	0.00125971	0.00125971	0.00131703	0.00131703	0.00128685	0.00128685	0.20916	0.00128244	0.00128244	0.00121718	0.00121718	0.00127256	0.00127256	0.0012434	0.0012434	0.00120731	0.00120731	0.207425	0.0013158	0.00592603	0.00349835	0.000494917	0.00314397	0.0129871	0.055945	0.033801	0.0049248	0.0304814	8.18203e-06	0.000243279	0.000438291	0.000121534	0.000407302	1.16766	2.30643	1.63959	2.18077	2.10713	1.16766	2.30643	1.63959	2.18077	2.10713	0.118406	0.24391	0.169637	0.219452	0.217305
20	-967.4975	-1015.534	48.03622	0.04743542	0.140538	0.000875375	0.000875375	0.000900061	0.000900061	0.000868846	0.000868846	0.000872552	0.000872552	0.00207132	0.00207132	0.332973	0.00213111	0.00213111	0.0020572	0.0020572	0.00206598	0.00206598	0.000933661	0.000933661	0.000934267	0.000934267	0.154323	0.000927298	0.000927298	0.000931254	0.000931254	0.00133847	0.00133847	0.00133934	0.00133934	0.00137711	0.00137711	0.21356	0.00133502	0.00133502	0.0016801	0.0016801	0.00168119	0.00168119	0.0017286	0.0017286	0.00166865	0.00166865	0.269212	0.00106853	0.00113408	0.00398609	0.000379735	0.000807966	0.0105723	0.0112136	0.0383329	0.00378298	0.00801491	7.20885e-06	0.000639564	0.000432592	0.000184532	0.000119231	1.45977	3.45635	1.55798	2.23347	2.80353	1.45977	3.45635	1.55798	2.23347	2.80353	0.147572	0.349625	0.161776	0.22434	0.282729
30	-960.0259	-1007.639	47.61286	0.02328358	0.133276	0.00039889	0.00039889	0.000405794	0.000405794	0.000396412	0.000396412	0.000398127	0.000398127	0.00101098	0.00101098	0.340771	0.00103302	0.00103302	0.00100913	0.00100913	0.0010135	0.0010135	0.00045403	0.00045403	0.000456032	0.000456032	0.155689	0.000453199	0.000453199	0.00045516	0.00045516	0.000664905	0.000664905	0.000667837	0.000667837	0.000679396	0.000679396	0.222727	0.000666559	0.000666559	0.00083752	0.00083752	0.000841212	0.000841212	0.000855772	0.000855772	0.000835987	0.000835987	0.281762	0.000428888	0.00087165	0.00261759	0.000245053	0.000678731	0.00427056	0.00864118	0.0255082	0.00244454	0.00674155	1.86394e-05	0.000217103	0.000395668	0.000271114	0.000150112	1.3587	3.4588	1.55334	2.27479	2.86534	1.3587	3.4588	1.55334	2.27479	2.86534	0.136474	0.348904	0.159325	0.228084	0.288503
40	-964.2297	-1015.927	51.69747	0.02465218	0.137326	0.000435997	0.000435997	0.00044031	0.00044031	0.000431029	0.000431029	0.000444454	0.000444454	0.000997616	0.000997616	0.317308	0.00101242	0.00101242	0.000991082	0.000991082	0.00102195	0.00102195	0.000534775	0.000534775	0.000537397	0.000537397	0.171777	0.000531273	0.000531273	0.000547821	0.000547821	0.000679529	0.000679529	0.00068286	0.00068286	0.000689615	0.000689615	0.213672	0.000696106	0.000696106	0.000838423	0.000838423	0.000842533	0.000842533	0.000850867	0.000850867	0.000832931	0.000832931	0.271847	0.000870126	0.00136456	0.0023673	0.000209436	0.00333076	0.0086262	0.0134619	0.0231256	0.00208998	0.032234	3.6703e-06	0.000196337	0.000305775	0.000212442	6.87016e-05	1.39583	3.20949	1.72046	2.18615	2.69734	1.39583	3.20949	1.72046	2.18615	2.69734	0.14083	0.325354	0.176079	0.219169	0.278576
50	-962.1197	-1013.323	51.20354	0.03048093	0.13148	0.000516321	0.000516321	0.000520674	0.000520674	0.000514664	0.000514664	0.000532071	0.000532071	0.0012956	0.0012956	0.329433	0.00130555	0.00130555	0.00129048	0.00129048	0.00133413	0.00133413	0.000668836	0.000668836	0.000668341	0.000668341	0.171499	0.000666195	0.000666195	0.000688727	0.000688727	0.000805464	0.000805464	0.000804867	0.000804867	0.000811653	0.000811653	0.204148	0.000829418	0.000829418	0.000782602	0.000782602	0.000782023	0.000782023	0.000788616	0.000788616	0.000779512	0.000779512	0.205063	0.000875773	0.000801085	0.0016509	0.000477468	0.00387577	0.0086817	0.00794719	0.0162409	0.00475199	0.0373116	3.42297e-06	0.000227785	0.000353626	0.000268858	0.000176852	1.34436	3.37089	1.74018	2.09566	2.03618	1.34436	3.37089	1.74018	2.09566	2.03618	0.135648	0.339884	0.176883	0.210651	0.211328
60	-957.6404	-1009.46	51.81969	0.03356219	0.13372	0.000587369	0.000587369	0.000594764	0.000594764	0.000577231	0.000577231	0.000587968	0.000587968	0.00128981	0.00128981	0.300655	0.00132156	0.00132156	0.00128261	0.00128261	0.00130646	0.00130646	0.000608876	0.000608876	0.000616109	0.000616109	0.143716	0.000605475	0.000605475	0.000616737	0.000616737	0.000941247	0.000941247	0.000952427	0.000952427	0.000964418	0.000964418	0.215618	0.000953398	0.000953398	0.000958905	0.000958905	0.000970295	0.000970295	0.000982511	0.000982511	0.000953549	0.000953549	0.223749	0.000854248	0.00205221	0.00333703	0.000290844	0.00215631	0.00847012	0.0201094	0.0322926	0.00290001	0.0211079	2.84211e-06	0.000133913	0.000496391	0.000211508	8.76102e-05	1.37192	3.0484	1.43905	2.22458	2.26632	1.37192	3.0484	1.43905	2.22458	2.26632	0.138415	0.311055	0.14861	0.223241	0.231479
70	-957.0308	-1007.469	50.43787	0.03186451	0.125593	0.000515327	0.000515327	0.000520979	0.000520979	0.000512178	0.000512178	0.000519854	0.000519854	0.0013615	0.0013615	0.330044	0.00137275	0.00137275	0.00134956	0.00134956	0.00136978	0.00136978	0.000830976	0.000830976	0.000828749	0.000828749	0.203647	0.000823684	0.000823684	0.00083603	0.00083603	0.000916069	0.000916069	0.000913614	0.000913614	0.000923634	0.000923634	0.220709	0.00092164	0.00092164	0.00101497	0.00101497	0.00101225	0.00101225	0.00102336	0.00102336	0.00100607	0.00100607	0.248203	0.00115743	0.00088637	0.00199279	0.000269799	0.00177267	0.0114419	0.00878582	0.0195385	0.00269073	0.017418	6.41804e-06	0.000240504	0.000796906	0.000196354	0.000130635	1.28243	3.37912	2.0624	2.27359	2.51907	1.28243	3.37912	2.0624	2.27359	2.51907	0.12973	0.340951	0.210286	0.228059	0.256317
80	-957.8912	-1007.109	49.21756	0.02785362	0.125286	0.00045093	0.00045093	0.00045578	0.00045578	0.000448024	0.000448024	0.000454657	0.000454657	0.00120283	0.00120283	0.337513	0.00122179	0.00122179	0.001201	0.001201	0.00121878	0.00121878	0.00063018	0.00063018	0.000633301	0.000633301	0.17873	0.00062922	0.00062922	0.000638535	0.000638535	0.000790605	0.000790605	0.000794521	0.000794521	0.000803066	0.000803066	0.220413	0.000801087	0.000801087	0.000879916	0.000879916	0.000884275	0.000884275	0.000893786	0.000893786	0.000878577	0.000878577	0.248944	0.000457454	0.000955063	0.0020409	0.000304574	0.00178942	0.00455371	0.00946027	0.0200008	0.00303649	0.0175796	8.5466e-06	8.58973e-05	0.000159553	0.000275115	0.000114721	1.28289	3.43899	1.80173	2.2604	2.51575	1.28289	3.43899	1.80173	2.2604	2.51575	0.128905	0.347202	0.183792	0.226792	0.256017
90	-958.843	-1008.759	49.91581	0.02743194	0.126212	0.000445211	0.000445211	0.000448408	0.000448408	0.000442416	0.000442416	0.000447654	0.000447654	0.00111028	0.00111028	0.31507	0.00111882	0.00111882	0.00110387	0.00110387	0.00111694	0.00111694	0.000688041	0.000688041	0.00068839	0.00068839	0.196651	0.000684067	0.000684067	0.000692167	0.000692167	0.000739929	0.000739929	0.000740305	0.000740305	0.00074562	0.00074562	0.208655	0.000744366	0.000744366	0.000837004	0.000837004	0.000837429	0.000837429	0.000843441	0.000843441	0.00083217	0.00083217	0.238824	0.000892808	0.000943992	0.00166878	0.000310106	0.00149782	0.00884908	0.00935164	0.0164139	0.00309147	0.0147571	9.13686e-06	0.00040504	0.000440442	0.000104188	0.000130726	1.28623	3.20927	1.98878	2.13877	2.41936	1.28623	3.20927	1.98878	2.13877	2.41936	0.129779	0.32397	0.202156	0.214595	0.245524
