end_parent,start_child_1,start_child_2
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,0
5,0,5
6,6,1
6,1,6
7,7,2
7,2,7
8,8,3
8,3,8
9,9,4
9,4,9
10,10,0
10,0,10
11,11,1
11,1,11
12,12,2
12,2,12
13,13,3
13,3,13
14,14,4
14,4,14
15,15,0
15,0,15
16,16,1
16,1,16
17,17,2
17,2,17
18,18,3
18,3,18
19,19,4
19,4,19
20,20,0
20,0,20
21,21,1
21,1,21
22,22,2
22,2,22
23,23,3
23,3,23
24,24,4
24,4,24
0,0,5
0,5,0
1,1,6
1,6,1
2,2,7
2,7,2
3,3,8
3,8,3
4,4,9
4,9,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,5
10,5,10
11,11,6
11,6,11
12,12,7
12,7,12
13,13,8
13,8,13
14,14,9
14,9,14
15,15,5
15,5,15
16,16,6
16,6,16
17,17,7
17,7,17
18,18,8
18,8,18
19,19,9
19,9,19
20,20,5
20,5,20
21,21,6
21,6,21
22,22,7
22,7,22
23,23,8
23,8,23
24,24,9
24,9,24
0,0,10
0,10,0
1,1,11
1,11,1
2,2,12
2,12,2
3,3,13
3,13,3
4,4,14
4,14,4
5,5,10
5,10,5
6,6,11
6,11,6
7,7,12
7,12,7
8,8,13
8,13,8
9,9,14
9,14,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,10
15,10,15
16,16,11
16,11,16
17,17,12
17,12,17
18,18,13
18,13,18
19,19,14
19,14,19
20,20,10
20,10,20
21,21,11
21,11,21
22,22,12
22,12,22
23,23,13
23,13,23
24,24,14
24,14,24
0,0,15
0,15,0
1,1,16
1,16,1
2,2,17
2,17,2
3,3,18
3,18,3
4,4,19
4,19,4
5,5,15
5,15,5
6,6,16
6,16,6
7,7,17
7,17,7
8,8,18
8,18,8
9,9,19
9,19,9
10,10,15
10,15,10
11,11,16
11,16,11
12,12,17
12,17,12
13,13,18
13,18,13
14,14,19
14,19,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,15
20,15,20
21,21,16
21,16,21
22,22,17
22,17,22
23,23,18
23,18,23
24,24,19
24,19,24
0,0,20
0,20,0
1,1,21
1,21,1
2,2,22
2,22,2
3,3,23
3,23,3
4,4,24
4,24,4
5,5,20
5,20,5
6,6,21
6,21,6
7,7,22
7,22,7
8,8,23
8,23,8
9,9,24
9,24,9
10,10,20
10,20,10
11,11,21
11,21,11
12,12,22
12,22,12
13,13,23
13,23,13
14,14,24
14,24,14
15,15,20
15,20,15
16,16,21
16,21,16
17,17,22
17,22,17
18,18,23
18,23,18
19,19,24
19,24,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
