"end_parent","start_child_1","start_child_2","posterior_mean_count","posterior_mean_rate","posterior_median_count","from","to"
0,0,0,52.3244680851064,0.116672582023968,13,"AA","AA:AA"
0,0,5,0,4.44094952663116e-07,0,"AA","AA:BA"
0,5,0,0,4.44094952663116e-07,0,"AA","BA:AA"
0,0,10,0.118794326241135,2.20550908155792e-05,0,"AA","AA:CA"
0,10,0,0.0212765957446809,2.20550908155792e-05,0,"AA","CA:AA"
0,0,15,0.109929078014184,1.28582913853529e-06,0,"AA","AA:DA"
0,15,0,0.0124113475177305,1.28582913853529e-06,0,"AA","DA:AA"
0,0,20,0.264184397163121,2.3743105485486e-05,0,"AA","AA:EA"
0,20,0,0.0460992907801418,2.3743105485486e-05,0,"AA","EA:AA"
1,1,1,0,2.11663050599201e-05,0,"AB","AB:AB"
1,1,6,0,0.164446075898802,0,"AB","AB:BB"
1,6,1,0,0.164446075898802,0,"AB","BB:AB"
1,1,11,0,0.000132803797336884,0,"AB","AB:CB"
1,11,1,0,0.000132803797336884,0,"AB","CB:AB"
1,1,16,0,3.79997749800266e-05,0,"AB","AB:DB"
1,16,1,0,3.79997749800266e-05,0,"AB","DB:AB"
1,1,21,0,0.000213746681757656,0,"AB","AB:EB"
1,21,1,0,0.000213746681757656,0,"AB","EB:AB"
2,2,2,0,7.86531680426098e-06,0,"AC","AC:AC"
2,2,7,0,6.07789175765646e-05,0,"AC","AC:BC"
2,7,2,0,6.07789175765646e-05,0,"AC","BC:AC"
2,2,12,0.00886524822695036,0.0912473447403462,0,"AC","AC:CC"
2,12,2,0,0.0912473447403462,0,"AC","CC:AC"
2,2,17,0,1.93017973368842e-05,0,"AC","AC:DC"
2,17,2,0,1.93017973368842e-05,0,"AC","DC:AC"
2,2,22,0,0.000160412900532623,0,"AC","AC:EC"
2,22,2,0,0.000160412900532623,0,"AC","EC:AC"
3,3,3,0.00177304964539007,1.71659540079893e-05,0,"AD","AD:AD"
3,3,8,0,9.60003715046605e-05,0,"AD","AD:BD"
3,8,3,0,9.60003715046605e-05,0,"AD","BD:AD"
3,3,13,0,0.000209212901464714,0,"AD","AD:CD"
3,13,3,0,0.000209212901464714,0,"AD","CD:AD"
3,3,18,0.0620567375886525,0.0556917932756325,0,"AD","AD:DD"
3,18,3,0.0141843971631206,0.0556917932756325,0,"AD","DD:AD"
3,3,23,0,0.000105174126498003,0,"AD","AD:ED"
3,23,3,0,0.000105174126498003,0,"AD","ED:AD"
4,4,4,0.00177304964539007,0.00037289937840213,0,"AE","AE:AE"
4,4,9,0,0.00182767036617843,0,"AE","AE:BE"
4,9,4,0,0.00182767036617843,0,"AE","BE:AE"
4,4,14,0,0.00207993486271638,0,"AE","AE:CE"
4,14,4,0.0106382978723404,0.00207993486271638,0,"AE","CE:AE"
4,4,19,0.189716312056738,0.0644822556223702,0,"AE","AE:DE"
4,19,4,0.0283687943262411,0.0644822556223702,0,"AE","DE:AE"
4,4,24,0.177304964539007,0.150350624101198,0,"AE","AE:EE"
4,24,4,0.0283687943262411,0.150350624101198,0,"AE","EE:AE"
5,5,0,0,0.0583362862849534,0,"BA","BA:AA"
5,0,5,0,0.0583362862849534,0,"BA","AA:BA"
5,5,5,0,8.88189879627164e-07,0,"BA","BA:BA"
5,5,10,0,2.20550908155792e-05,0,"BA","BA:CA"
5,10,5,0,2.20550908155792e-05,0,"BA","CA:BA"
5,5,15,0,1.28582913853529e-06,0,"BA","BA:DA"
5,15,5,0,1.28582913853529e-06,0,"BA","DA:BA"
5,5,20,0,2.3743105485486e-05,0,"BA","BA:EA"
5,20,5,0,2.3743105485486e-05,0,"BA","EA:BA"
6,6,1,0,1.05831524500666e-05,0,"BB","BB:AB"
6,1,6,0,1.05831524500666e-05,0,"BB","AB:BB"
6,6,6,39.177304964539,0.328892157123835,56,"BB","BB:BB"
6,6,11,0.00886524822695036,0.000132803797336884,0,"BB","BB:CB"
6,11,6,0.00709219858156028,0.000132803797336884,0,"BB","CB:BB"
6,6,16,0.00354609929078014,3.79997749800266e-05,0,"BB","BB:DB"
6,16,6,0.00177304964539007,3.79997749800266e-05,0,"BB","DB:BB"
6,6,21,0.0230496453900709,0.000213746681757656,0,"BB","BB:EB"
6,21,6,0.0390070921985816,0.000213746681757656,0,"BB","EB:BB"
7,7,2,0,3.93265845539281e-06,0,"BC","BC:AC"
7,2,7,0,3.93265845539281e-06,0,"BC","AC:BC"
7,7,7,0,0.000121557860186418,0,"BC","BC:BC"
7,7,12,0,0.0912473447403462,0,"BC","BC:CC"
7,12,7,0,0.0912473447403462,0,"BC","CC:BC"
7,7,17,0,1.93017973368842e-05,0,"BC","BC:DC"
7,17,7,0,1.93017973368842e-05,0,"BC","DC:BC"
7,7,22,0,0.000160412900532623,0,"BC","BC:EC"
7,22,7,0,0.000160412900532623,0,"BC","EC:BC"
8,8,3,0,8.58297696404794e-06,0,"BD","BD:AD"
8,3,8,0,8.58297696404794e-06,0,"BD","AD:BD"
8,8,8,0,0.000192000767376831,0,"BD","BD:BD"
8,8,13,0,0.000209212901464714,0,"BD","BD:CD"
8,13,8,0,0.000209212901464714,0,"BD","CD:BD"
8,8,18,0.0106382978723404,0.0556917932756325,0,"BD","BD:DD"
8,18,8,0.0390070921985816,0.0556917932756325,0,"BD","DD:BD"
8,8,23,0,0.000105174126498003,0,"BD","BD:ED"
8,23,8,0,0.000105174126498003,0,"BD","ED:BD"
9,9,4,0,0.000186449718934754,0,"BE","BE:AE"
9,4,9,0,0.000186449718934754,0,"BE","AE:BE"
9,9,9,0,0.00365534050466045,0,"BE","BE:BE"
9,9,14,0,0.00207993486271638,0,"BE","BE:CE"
9,14,9,0,0.00207993486271638,0,"BE","CE:BE"
9,9,19,0.00354609929078014,0.0644822556223702,0,"BE","BE:DE"
9,19,9,0.0195035460992908,0.0644822556223702,0,"BE","DE:BE"
9,9,24,0.0567375886524823,0.150350624101198,0,"BE","BE:EE"
9,24,9,0.0939716312056738,0.150350624101198,0,"BE","EE:BE"
10,10,0,0,0.0583362862849534,0,"CA","CA:AA"
10,0,10,0.0177304964539007,0.0583362862849534,0,"CA","AA:CA"
10,10,5,0,4.44094952663116e-07,0,"CA","CA:BA"
10,5,10,0,4.44094952663116e-07,0,"CA","BA:CA"
10,10,10,0,4.41101858612517e-05,0,"CA","CA:CA"
10,10,15,0,1.28582913853529e-06,0,"CA","CA:DA"
10,15,10,0,1.28582913853529e-06,0,"CA","DA:CA"
10,10,20,0,2.3743105485486e-05,0,"CA","CA:EA"
10,20,10,0,2.3743105485486e-05,0,"CA","EA:CA"
11,11,1,0,1.05831524500666e-05,0,"CB","CB:AB"
11,1,11,0,1.05831524500666e-05,0,"CB","AB:CB"
11,11,6,0,0.164446075898802,0,"CB","CB:BB"
11,6,11,0.00177304964539007,0.164446075898802,0,"CB","BB:CB"
11,11,11,0,0.000265607580559254,0,"CB","CB:CB"
11,11,16,0,3.79997749800266e-05,0,"CB","CB:DB"
11,16,11,0,3.79997749800266e-05,0,"CB","DB:CB"
11,11,21,0,0.000213746681757656,0,"CB","CB:EB"
11,21,11,0,0.000213746681757656,0,"CB","EB:CB"
12,12,2,0,3.93265845539281e-06,0,"CC","CC:AC"
12,2,12,0.00177304964539007,3.93265845539281e-06,0,"CC","AC:CC"
12,12,7,0,6.07789175765646e-05,0,"CC","CC:BC"
12,7,12,0,6.07789175765646e-05,0,"CC","BC:CC"
12,12,12,7.55496453900709,0.182494684420772,10,"CC","CC:CC"
12,12,17,0,1.93017973368842e-05,0,"CC","CC:DC"
12,17,12,0,1.93017973368842e-05,0,"CC","DC:CC"
12,12,22,0.0709219858156028,0.000160412900532623,0,"CC","CC:EC"
12,22,12,0.00354609929078014,0.000160412900532623,0,"CC","EC:CC"
13,13,3,0,8.58297696404794e-06,0,"CD","CD:AD"
13,3,13,0,8.58297696404794e-06,0,"CD","AD:CD"
13,13,8,0,9.60003715046605e-05,0,"CD","CD:BD"
13,8,13,0,9.60003715046605e-05,0,"CD","BD:CD"
13,13,13,0,0.000418425764314248,0,"CD","CD:CD"
13,13,18,0.00531914893617021,0.0556917932756325,0,"CD","CD:DD"
13,18,13,0.00531914893617021,0.0556917932756325,0,"CD","DD:CD"
13,13,23,0,0.000105174126498003,0,"CD","CD:ED"
13,23,13,0,0.000105174126498003,0,"CD","ED:CD"
14,14,4,0,0.000186449718934754,0,"CE","CE:AE"
14,4,14,0,0.000186449718934754,0,"CE","AE:CE"
14,14,9,0,0.00182767036617843,0,"CE","CE:BE"
14,9,14,0.00177304964539007,0.00182767036617843,0,"CE","BE:CE"
14,14,14,0.00354609929078014,0.00415987077829561,0,"CE","CE:CE"
14,14,19,0.0177304964539007,0.0644822556223702,0,"CE","CE:DE"
14,19,14,0.00709219858156028,0.0644822556223702,0,"CE","DE:CE"
14,14,24,0.108156028368794,0.150350624101198,0,"CE","CE:EE"
14,24,14,0.0230496453900709,0.150350624101198,0,"CE","EE:CE"
15,15,0,0,0.0583362862849534,0,"DA","DA:AA"
15,0,15,0.00886524822695036,0.0583362862849534,0,"DA","AA:DA"
15,15,5,0,4.44094952663116e-07,0,"DA","DA:BA"
15,5,15,0,4.44094952663116e-07,0,"DA","BA:DA"
15,15,10,0,2.20550908155792e-05,0,"DA","DA:CA"
15,10,15,0,2.20550908155792e-05,0,"DA","CA:DA"
15,15,15,0,2.57165911509987e-06,0,"DA","DA:DA"
15,15,20,0,2.3743105485486e-05,0,"DA","DA:EA"
15,20,15,0,2.3743105485486e-05,0,"DA","EA:DA"
16,16,1,0,1.05831524500666e-05,0,"DB","DB:AB"
16,1,16,0,1.05831524500666e-05,0,"DB","AB:DB"
16,16,6,0.00354609929078014,0.164446075898802,0,"DB","DB:BB"
16,6,16,0.00177304964539007,0.164446075898802,0,"DB","BB:DB"
16,16,11,0,0.000132803797336884,0,"DB","DB:CB"
16,11,16,0,0.000132803797336884,0,"DB","CB:DB"
16,16,16,0,7.59995459387483e-05,0,"DB","DB:DB"
16,16,21,0,0.000213746681757656,0,"DB","DB:EB"
16,21,16,0,0.000213746681757656,0,"DB","EB:DB"
17,17,2,0,3.93265845539281e-06,0,"DC","DC:AC"
17,2,17,0,3.93265845539281e-06,0,"DC","AC:DC"
17,17,7,0,6.07789175765646e-05,0,"DC","DC:BC"
17,7,17,0,6.07789175765646e-05,0,"DC","BC:DC"
17,17,12,0,0.0912473447403462,0,"DC","DC:CC"
17,12,17,0.00177304964539007,0.0912473447403462,0,"DC","CC:DC"
17,17,17,0,3.86035912250333e-05,0,"DC","DC:DC"
17,17,22,0,0.000160412900532623,0,"DC","DC:EC"
17,22,17,0,0.000160412900532623,0,"DC","EC:DC"
18,18,3,0,8.58297696404794e-06,0,"DD","DD:AD"
18,3,18,0.0265957446808511,8.58297696404794e-06,0,"DD","AD:DD"
18,18,8,0.0975177304964539,9.60003715046605e-05,0,"DD","DD:BD"
18,8,18,0.024822695035461,9.60003715046605e-05,0,"DD","BD:DD"
18,18,13,0.0106382978723404,0.000209212901464714,0,"DD","DD:CD"
18,13,18,0.0106382978723404,0.000209212901464714,0,"DD","CD:DD"
18,18,18,10.927304964539,0.111383579360852,11,"DD","DD:DD"
18,18,23,0.0354609929078014,0.000105174126498003,0,"DD","DD:ED"
18,23,18,0.0673758865248227,0.000105174126498003,0,"DD","ED:DD"
19,19,4,0.00177304964539007,0.000186449718934754,0,"DE","DE:AE"
19,4,19,0,0.000186449718934754,0,"DE","AE:DE"
19,19,9,0.0195035460992908,0.00182767036617843,0,"DE","DE:BE"
19,9,19,0.00886524822695036,0.00182767036617843,0,"DE","BE:DE"
19,19,14,0.00177304964539007,0.00207993486271638,0,"DE","DE:CE"
19,14,19,0.00709219858156028,0.00207993486271638,0,"DE","CE:DE"
19,19,19,0.365248226950355,0.128964498159387,0,"DE","DE:DE"
19,19,24,0.689716312056738,0.150350624101198,0,"DE","DE:EE"
19,24,19,0.882978723404255,0.150350624101198,0,"DE","EE:DE"
20,20,0,0.00354609929078014,0.0583362862849534,0,"EA","EA:AA"
20,0,20,0.049645390070922,0.0583362862849534,0,"EA","AA:EA"
20,20,5,0,4.44094952663116e-07,0,"EA","EA:BA"
20,5,20,0,4.44094952663116e-07,0,"EA","BA:EA"
20,20,10,0,2.20550908155792e-05,0,"EA","EA:CA"
20,10,20,0,2.20550908155792e-05,0,"EA","CA:EA"
20,20,15,0,1.28582913853529e-06,0,"EA","EA:DA"
20,15,20,0,1.28582913853529e-06,0,"EA","DA:EA"
20,20,20,0,4.74861952655126e-05,0,"EA","EA:EA"
21,21,1,0,1.05831524500666e-05,0,"EB","EB:AB"
21,1,21,0,1.05831524500666e-05,0,"EB","AB:EB"
21,21,6,0.0159574468085106,0.164446075898802,0,"EB","EB:BB"
21,6,21,0.0230496453900709,0.164446075898802,0,"EB","BB:EB"
21,21,11,0,0.000132803797336884,0,"EB","EB:CB"
21,11,21,0,0.000132803797336884,0,"EB","CB:EB"
21,21,16,0,3.79997749800266e-05,0,"EB","EB:DB"
21,16,21,0,3.79997749800266e-05,0,"EB","DB:EB"
21,21,21,0,0.000427493335552597,0,"EB","EB:EB"
22,22,2,0,3.93265845539281e-06,0,"EC","EC:AC"
22,2,22,0,3.93265845539281e-06,0,"EC","AC:EC"
22,22,7,0,6.07789175765646e-05,0,"EC","EC:BC"
22,7,22,0,6.07789175765646e-05,0,"EC","BC:EC"
22,22,12,0.00354609929078014,0.0912473447403462,0,"EC","EC:CC"
22,12,22,0.0159574468085106,0.0912473447403462,0,"EC","CC:EC"
22,22,17,0,1.93017973368842e-05,0,"EC","EC:DC"
22,17,22,0,1.93017973368842e-05,0,"EC","DC:EC"
22,22,22,0,0.000320825786950732,0,"EC","EC:EC"
23,23,3,0,8.58297696404794e-06,0,"ED","ED:AD"
23,3,23,0,8.58297696404794e-06,0,"ED","AD:ED"
23,23,8,0,9.60003715046605e-05,0,"ED","ED:BD"
23,8,23,0,9.60003715046605e-05,0,"ED","BD:ED"
23,23,13,0,0.000209212901464714,0,"ED","ED:CD"
23,13,23,0,0.000209212901464714,0,"ED","CD:ED"
23,23,18,0.00531914893617021,0.0556917932756325,0,"ED","ED:DD"
23,18,23,0.00354609929078014,0.0556917932756325,0,"ED","DD:ED"
23,23,23,0,0.000210348276964048,0,"ED","ED:ED"
24,24,4,0.0106382978723404,0.000186449718934754,0,"EE","EE:AE"
24,4,24,0.0212765957446809,0.000186449718934754,0,"EE","AE:EE"
24,24,9,0.269503546099291,0.00182767036617843,0,"EE","EE:BE"
24,9,24,0.175531914893617,0.00182767036617843,0,"EE","BE:EE"
24,24,14,0.0301418439716312,0.00207993486271638,0,"EE","EE:CE"
24,14,24,0.25354609929078,0.00207993486271638,0,"EE","CE:EE"
24,24,19,2.4645390070922,0.0644822556223702,2,"EE","EE:DE"
24,19,24,2.12765957446809,0.0644822556223702,2,"EE","DE:EE"
24,24,24,24.6063829787234,0.300701238348868,32,"EE","EE:EE"
