"end_parent","start_child_1","start_child_2","posterior_mean_count","posterior_mean_rate","posterior_median_count","from","to"
0,0,0,38.9007092198582,0.129935099334221,24,"AA","AA:AA"
0,0,5,0.00354609929078014,0.000616840821571238,0,"AA","AA:BA"
0,5,0,0.0407801418439716,0.000616840821571238,0,"AA","BA:AA"
0,0,10,0.125886524822695,0.000798000013315579,0,"AA","AA:CA"
0,10,0,0.0851063829787234,0.000798000013315579,0,"AA","CA:AA"
0,0,15,0.436170212765957,0.000640716099067909,0,"AA","AA:DA"
0,15,0,0.140070921985816,0.000640716099067909,0,"AA","DA:AA"
0,0,20,0.0638297872340425,0.00122517554593875,0,"AA","AA:EA"
0,20,0,0.0975177304964539,0.00122517554593875,0,"AA","EA:AA"
1,1,1,0,1.77667893075899e-05,0,"AB","AB:AB"
1,1,6,0,0.16008033954727,0,"AB","AB:BB"
1,6,1,0,0.16008033954727,0,"AB","BB:AB"
1,1,11,0,0.000506730153528628,0,"AB","AB:CB"
1,11,1,0,0.000506730153528628,0,"AB","CB:AB"
1,1,16,0,0.000414983167110519,0,"AB","AB:DB"
1,16,1,0,0.000414983167110519,0,"AB","DB:AB"
1,1,21,0,0.000779599740346205,0,"AB","AB:EB"
1,21,1,0,0.000779599740346205,0,"AB","EB:AB"
2,2,2,0,1.58640657123835e-05,0,"AC","AC:AC"
2,2,7,0,0.000347032895739015,0,"AC","AC:BC"
2,7,2,0,0.000347032895739015,0,"AC","BC:AC"
2,2,12,0,0.0904730272969374,0,"AC","AC:CC"
2,12,2,0,0.0904730272969374,0,"AC","CC:AC"
2,2,17,0,0.000358309200399467,0,"AC","AC:DC"
2,17,2,0,0.000358309200399467,0,"AC","DC:AC"
2,2,22,0,0.000700137573901465,0,"AC","AC:EC"
2,22,2,0,0.000700137573901465,0,"AC","EC:AC"
3,3,3,0,2.66695130892144e-05,0,"AD","AD:AD"
3,3,8,0,0.000582153663115846,0,"AD","AD:BD"
3,8,3,0,0.000582153663115846,0,"AD","BD:AD"
3,3,13,0,0.000757443133155792,0,"AD","AD:CD"
3,13,3,0,0.000757443133155792,0,"AD","CD:AD"
3,3,18,0,0.107070858721704,0,"AD","AD:DD"
3,18,3,0,0.107070858721704,0,"AD","DD:AD"
3,3,23,0,0.00116722048202397,0,"AD","AD:ED"
3,23,3,0,0.00116722048202397,0,"AD","ED:AD"
4,4,4,0,2.45463739946738e-05,0,"AE","AE:AE"
4,4,9,0,0.000529253856458056,0,"AE","AE:BE"
4,9,4,0,0.000529253856458056,0,"AE","BE:AE"
4,4,14,0,0.000706477162849534,0,"AE","AE:CE"
4,14,4,0,0.000706477162849534,0,"AE","CE:AE"
4,4,19,0,0.000581852947669774,0,"AE","AE:DE"
4,19,4,0,0.000581852947669774,0,"AE","DE:AE"
4,4,24,0,0.125358556191744,0,"AE","AE:EE"
4,24,4,0.00177304964539007,0.125358556191744,0,"AE","EE:AE"
5,5,0,0.0106382978723404,0.0649675547270306,0,"BA","BA:AA"
5,0,5,0.00177304964539007,0.0649675547270306,0,"BA","AA:BA"
5,5,5,0,0.00123368181491345,0,"BA","BA:BA"
5,5,10,0,0.000798000013315579,0,"BA","BA:CA"
5,10,5,0,0.000798000013315579,0,"BA","CA:BA"
5,5,15,0,0.000640716099067909,0,"BA","BA:DA"
5,15,5,0,0.000640716099067909,0,"BA","DA:BA"
5,5,20,0.00177304964539007,0.00122517554593875,0,"BA","BA:EA"
5,20,5,0,0.00122517554593875,0,"BA","EA:BA"
6,6,1,0,8.88339316910786e-06,0,"BB","BB:AB"
6,1,6,0,8.88339316910786e-06,0,"BB","AB:BB"
6,6,6,47.4468085106383,0.320160700399467,56,"BB","BB:BB"
6,6,11,0.0106382978723404,0.000506730153528628,0,"BB","BB:CB"
6,11,6,0.0159574468085106,0.000506730153528628,0,"BB","CB:BB"
6,6,16,0.024822695035461,0.000414983167110519,0,"BB","BB:DB"
6,16,6,0.0319148936170213,0.000414983167110519,0,"BB","DB:BB"
6,6,21,0.152482269503546,0.000779599740346205,0,"BB","BB:EB"
