"clado_events","parent","child_1","child_2","ESS"
2,"[HU,FR]","[HU,FR]","[HU,FR]","good"
3,"[HU,DE]","[HU,DE]","[HU,DE]","good"
8,"[FR,FR]","[FR,FR]","[HU,FR]","good"
9,"[FR,FR]","[HU,FR]","[FR,FR]","good"
10,"[FR,DE]","[FR,DE]","[HU,DE]","good"
11,"[FR,DE]","[HU,DE]","[FR,DE]","good"
18,"[DE,FR]","[DE,FR]","[HU,FR]","good"
19,"[DE,FR]","[HU,FR]","[DE,FR]","good"
20,"[DE,DE]","[DE,DE]","[HU,DE]","good"
21,"[DE,DE]","[HU,DE]","[DE,DE]","good"
28,"[IT,FR]","[IT,FR]","[HU,FR]","good"
29,"[IT,FR]","[HU,FR]","[IT,FR]","good"
30,"[IT,DE]","[IT,DE]","[HU,DE]","good"
31,"[IT,DE]","[HU,DE]","[IT,DE]","good"
38,"[OE,FR]","[OE,FR]","[HU,FR]","good"
39,"[OE,FR]","[HU,FR]","[OE,FR]","good"
40,"[OE,DE]","[OE,DE]","[HU,DE]","good"
41,"[OE,DE]","[HU,DE]","[OE,DE]","good"
46,"[HU,HU]","[HU,HU]","[FR,HU]","good"
47,"[HU,HU]","[FR,HU]","[HU,HU]","good"
48,"[HU,FR]","[HU,FR]","[FR,FR]","good"
49,"[HU,FR]","[FR,FR]","[HU,FR]","good"
50,"[HU,DE]","[HU,DE]","[FR,DE]","good"
51,"[HU,DE]","[FR,DE]","[HU,DE]","good"
54,"[HU,OE]","[HU,OE]","[FR,OE]","good"
55,"[HU,OE]","[FR,OE]","[HU,OE]","good"
56,"[FR,HU]","[FR,HU]","[FR,HU]","good"
57,"[FR,FR]","[FR,FR]","[FR,FR]","good"
58,"[FR,DE]","[FR,DE]","[FR,DE]","good"
60,"[FR,OE]","[FR,OE]","[FR,OE]","good"
61,"[DE,HU]","[DE,HU]","[FR,HU]","good"
62,"[DE,HU]","[FR,HU]","[DE,HU]","good"
63,"[DE,FR]","[DE,FR]","[FR,FR]","good"
64,"[DE,FR]","[FR,FR]","[DE,FR]","good"
65,"[DE,DE]","[DE,DE]","[FR,DE]","good"
66,"[DE,DE]","[FR,DE]","[DE,DE]","good"
69,"[DE,OE]","[DE,OE]","[FR,OE]","good"
70,"[DE,OE]","[FR,OE]","[DE,OE]","good"
71,"[IT,HU]","[IT,HU]","[FR,HU]","good"
72,"[IT,HU]","[FR,HU]","[IT,HU]","good"
73,"[IT,FR]","[IT,FR]","[FR,FR]","good"
74,"[IT,FR]","[FR,FR]","[IT,FR]","good"
75,"[IT,DE]","[IT,DE]","[FR,DE]","good"
76,"[IT,DE]","[FR,DE]","[IT,DE]","good"
79,"[IT,OE]","[IT,OE]","[FR,OE]","good"
80,"[IT,OE]","[FR,OE]","[IT,OE]","good"
81,"[OE,HU]","[OE,HU]","[FR,HU]","good"
82,"[OE,HU]","[FR,HU]","[OE,HU]","good"
83,"[OE,FR]","[OE,FR]","[FR,FR]","good"
84,"[OE,FR]","[FR,FR]","[OE,FR]","good"
85,"[OE,DE]","[OE,DE]","[FR,DE]","good"
86,"[OE,DE]","[FR,DE]","[OE,DE]","good"
89,"[OE,OE]","[OE,OE]","[FR,OE]","good"
90,"[OE,OE]","[FR,OE]","[OE,OE]","good"
91,"[HU,HU]","[HU,HU]","[DE,HU]","good"
92,"[HU,HU]","[DE,HU]","[HU,HU]","good"
93,"[HU,FR]","[HU,FR]","[DE,FR]","good"
94,"[HU,FR]","[DE,FR]","[HU,FR]","good"
95,"[HU,DE]","[HU,DE]","[DE,DE]","good"
96,"[HU,DE]","[DE,DE]","[HU,DE]","good"
99,"[HU,OE]","[HU,OE]","[DE,OE]","good"
100,"[HU,OE]","[DE,OE]","[HU,OE]","good"
101,"[FR,HU]","[FR,HU]","[DE,HU]","good"
102,"[FR,HU]","[DE,HU]","[FR,HU]","good"
103,"[FR,FR]","[FR,FR]","[DE,FR]","good"
104,"[FR,FR]","[DE,FR]","[FR,FR]","good"
105,"[FR,DE]","[FR,DE]","[DE,DE]","good"
106,"[FR,DE]","[DE,DE]","[FR,DE]","good"
109,"[FR,OE]","[FR,OE]","[DE,OE]","good"
110,"[FR,OE]","[DE,OE]","[FR,OE]","good"
111,"[DE,HU]","[DE,HU]","[DE,HU]","good"
112,"[DE,FR]","[DE,FR]","[DE,FR]","good"
113,"[DE,DE]","[DE,DE]","[DE,DE]","good"
115,"[DE,OE]","[DE,OE]","[DE,OE]","good"
116,"[IT,HU]","[IT,HU]","[DE,HU]","good"
117,"[IT,HU]","[DE,HU]","[IT,HU]","good"
118,"[IT,FR]","[IT,FR]","[DE,FR]","good"
119,"[IT,FR]","[DE,FR]","[IT,FR]","good"
120,"[IT,DE]","[IT,DE]","[DE,DE]","good"
121,"[IT,DE]","[DE,DE]","[IT,DE]","good"
124,"[IT,OE]","[IT,OE]","[DE,OE]","good"
125,"[IT,OE]","[DE,OE]","[IT,OE]","good"
126,"[OE,HU]","[OE,HU]","[DE,HU]","good"
127,"[OE,HU]","[DE,HU]","[OE,HU]","good"
128,"[OE,FR]","[OE,FR]","[DE,FR]","good"
129,"[OE,FR]","[DE,FR]","[OE,FR]","good"
130,"[OE,DE]","[OE,DE]","[DE,DE]","good"
131,"[OE,DE]","[DE,DE]","[OE,DE]","good"
134,"[OE,OE]","[OE,OE]","[DE,OE]","good"
135,"[OE,OE]","[DE,OE]","[OE,OE]","good"
136,"[HU,HU]","[HU,HU]","[IT,HU]","good"
137,"[HU,HU]","[IT,HU]","[HU,HU]","good"
146,"[FR,HU]","[FR,HU]","[IT,HU]","good"
147,"[FR,HU]","[IT,HU]","[FR,HU]","good"
156,"[DE,HU]","[DE,HU]","[IT,HU]","good"
157,"[DE,HU]","[IT,HU]","[DE,HU]","good"
166,"[IT,HU]","[IT,HU]","[IT,HU]","good"
171,"[OE,HU]","[OE,HU]","[IT,HU]","good"
172,"[OE,HU]","[IT,HU]","[OE,HU]","good"
181,"[HU,HU]","[HU,HU]","[OE,HU]","good"
182,"[HU,HU]","[OE,HU]","[HU,HU]","good"
183,"[HU,FR]","[HU,FR]","[OE,FR]","good"
184,"[HU,FR]","[OE,FR]","[HU,FR]","good"
185,"[HU,DE]","[HU,DE]","[OE,DE]","good"
186,"[HU,DE]","[OE,DE]","[HU,DE]","good"
191,"[FR,HU]","[FR,HU]","[OE,HU]","good"
192,"[FR,HU]","[OE,HU]","[FR,HU]","good"
193,"[FR,FR]","[FR,FR]","[OE,FR]","good"
194,"[FR,FR]","[OE,FR]","[FR,FR]","good"
195,"[FR,DE]","[FR,DE]","[OE,DE]","good"
196,"[FR,DE]","[OE,DE]","[FR,DE]","good"
201,"[DE,HU]","[DE,HU]","[OE,HU]","good"
202,"[DE,HU]","[OE,HU]","[DE,HU]","good"
203,"[DE,FR]","[DE,FR]","[OE,FR]","good"
204,"[DE,FR]","[OE,FR]","[DE,FR]","good"
205,"[DE,DE]","[DE,DE]","[OE,DE]","good"
206,"[DE,DE]","[OE,DE]","[DE,DE]","good"
211,"[IT,HU]","[IT,HU]","[OE,HU]","good"
212,"[IT,HU]","[OE,HU]","[IT,HU]","good"
213,"[IT,FR]","[IT,FR]","[OE,FR]","good"
214,"[IT,FR]","[OE,FR]","[IT,FR]","good"
215,"[IT,DE]","[IT,DE]","[OE,DE]","good"
216,"[IT,DE]","[OE,DE]","[IT,DE]","good"
221,"[OE,HU]","[OE,HU]","[OE,HU]","good"
222,"[OE,FR]","[OE,FR]","[OE,FR]","good"
223,"[OE,DE]","[OE,DE]","[OE,DE]","good"
