"clado_events","parent","child_1","child_2","ESS"
1,"[HU,HU]","[HU,HU]","[HU,HU]","bad"
4,"[HU,IT]","[HU,IT]","[HU,IT]","bad"
5,"[HU,OE]","[HU,OE]","[HU,OE]","bad"
6,"[FR,HU]","[FR,HU]","[HU,HU]","bad"
7,"[FR,HU]","[HU,HU]","[FR,HU]","bad"
12,"[FR,IT]","[FR,IT]","[HU,IT]","bad"
13,"[FR,IT]","[HU,IT]","[FR,IT]","bad"
14,"[FR,OE]","[FR,OE]","[HU,OE]","bad"
15,"[FR,OE]","[HU,OE]","[FR,OE]","bad"
16,"[DE,HU]","[DE,HU]","[HU,HU]","bad"
17,"[DE,HU]","[HU,HU]","[DE,HU]","bad"
22,"[DE,IT]","[DE,IT]","[HU,IT]","bad"
23,"[DE,IT]","[HU,IT]","[DE,IT]","bad"
24,"[DE,OE]","[DE,OE]","[HU,OE]","bad"
25,"[DE,OE]","[HU,OE]","[DE,OE]","bad"
26,"[IT,HU]","[IT,HU]","[HU,HU]","bad"
27,"[IT,HU]","[HU,HU]","[IT,HU]","bad"
32,"[IT,IT]","[IT,IT]","[HU,IT]","bad"
33,"[IT,IT]","[HU,IT]","[IT,IT]","bad"
34,"[IT,OE]","[IT,OE]","[HU,OE]","bad"
35,"[IT,OE]","[HU,OE]","[IT,OE]","bad"
36,"[OE,HU]","[OE,HU]","[HU,HU]","bad"
37,"[OE,HU]","[HU,HU]","[OE,HU]","bad"
42,"[OE,IT]","[OE,IT]","[HU,IT]","bad"
43,"[OE,IT]","[HU,IT]","[OE,IT]","bad"
44,"[OE,OE]","[OE,OE]","[HU,OE]","bad"
45,"[OE,OE]","[HU,OE]","[OE,OE]","bad"
52,"[HU,IT]","[HU,IT]","[FR,IT]","bad"
53,"[HU,IT]","[FR,IT]","[HU,IT]","bad"
59,"[FR,IT]","[FR,IT]","[FR,IT]","bad"
67,"[DE,IT]","[DE,IT]","[FR,IT]","bad"
68,"[DE,IT]","[FR,IT]","[DE,IT]","bad"
