"","variable","idx","true","mean","lower","upper","covered","ntips"
"1","R0",3,6.8924546449,5.28876173848398,4.00734006875532,6.0869131669434,FALSE,2
"2","R0",9,7.9371947038,5.74316027480472,4.44318769341893,6.9231056961367,FALSE,10
"3","R0",32,9.3202313549,8.890989261925,8.57650548932443,9.10336933990969,FALSE,499
"4","R0",35,11.7432615413,11.3442412082795,11.0629334555588,11.7030440184155,FALSE,499
"5","R0",39,10.1930960604,9.93095930098644,9.72934500978074,10.1576515743152,FALSE,499
"6","R0",50,7.7586230467,10.7622506474309,10.0208012729951,11.999172697774,FALSE,18
"7","R0",62,5.9690460446,5.75661225822426,5.64660437267458,5.89238896254874,FALSE,499
"8","R0",64,8.0378654214,7.76732927130621,7.46380920615569,8.02348392936378,FALSE,499
"9","R0",71,7.4050189686,7.90971789818965,7.50285978774216,8.37788101383328,FALSE,234
"10","R0",72,4.726656293,4.46324147282953,4.08009782771192,4.70565805008641,FALSE,56
"11","R0",89,8.8518875524,8.16751435504137,7.49552839020014,8.75990525538543,FALSE,86
"12","R0",96,8.6954493592,6.81553891584011,4.90045961517194,8.51881146166273,FALSE,9
"13","R0",97,7.1129054419,6.85437201994915,6.70288153676011,6.96033278693652,FALSE,499
"14","R0",124,11.9726007917,8.0484785392354,4.8581800958073,10.8453436130301,FALSE,4
"15","R0",130,6.4637749253,6.2854768953578,6.1264262411431,6.44312582153777,FALSE,499
"16","R0",139,4.909101011,4.789985958729,4.66067248621438,4.90461920513609,FALSE,499
"17","R0",143,9.9044342289,9.4068539261873,8.91854886657112,9.89221372847015,FALSE,263
"18","R0",145,11.2124582253,10.7840369735335,10.4155586335733,11.1341268470897,FALSE,499
"19","R0",146,4.7353621234,4.4267852499909,4.06862933210358,4.68728191424663,FALSE,67
"20","R0",149,8.9041203032,5.95081078803979,4.00017534418279,7.29032505096115,FALSE,2
"21","R0",155,8.767538002,9.91570302622603,8.96185993136581,10.6963261286336,FALSE,127
"22","R0",156,6.5898024418,6.44322294113743,6.27947341817016,6.55659697356602,FALSE,499
"23","R0",157,5.3475301831,5.22758292284621,5.1319394215914,5.31466830441856,FALSE,499
"24","R0",166,7.0525907354,6.87245943621407,6.74237578319321,7.00071325106786,FALSE,499
"25","R0",171,8.1661508363,6.34121284145327,4.00874938904698,7.85423120342044,FALSE,3
"26","R0",172,7.6111187407,9.45763245331015,7.97586730130664,11.9914478107869,FALSE,8
"27","R0",185,4.1892355494,4.11835814209612,4.00030310387836,4.17833893987634,FALSE,212
"28","R0",188,8.6432874327,8.39374002448265,8.19187396593546,8.57282588639743,FALSE,499
"29","R0",190,7.1372993256,6.89769474443911,6.70225934667583,7.12167519650636,FALSE,499
