param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
R0_0,7.5591081235
R0_1,9.7523184816
R0_2,5.7207980636
Sample_0,0.0965032508
Sample_1,0.0620641233
Sample_2,0.0670507999
Recover_0,0.6725159576
Recover_1,0.6725159576
Recover_2,0.6725159576
Stop_time_0,20.0275591132
Time_of_interest_0,22.9219958976
nSampled_tips_0,999
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Infect_0,6.88e-08
Infect_1,6.43e-08
Infect_2,4.06e-08
VisitDepart_0_0,0.0345257652
VisitDepart_0_1,0.0213664178
VisitDepart_0_2,0.0614368165
VisitDepart_1_0,0.0200999432
VisitDepart_1_1,0.0284117438
VisitDepart_1_2,0.013615754
VisitDepart_2_0,0.0252995611
VisitDepart_2_1,0.0159755287
VisitDepart_2_2,0.0182941965
VisitReturn_0_0,0.5628137157
VisitReturn_0_1,0.1907254982
VisitReturn_0_2,0.3056264764
VisitReturn_1_0,0.9566150294
VisitReturn_1_1,0.9154975653
VisitReturn_1_2,0.5306277285
VisitReturn_2_0,0.3477177458
VisitReturn_2_1,0.1891869623
VisitReturn_2_2,0.1447611447
VisitStationaryFreqs_0_0,0.7615877369
VisitStationaryFreqs_0_1,0.085318439
VisitStationaryFreqs_0_2,0.1530938241
VisitStationaryFreqs_1_0,0.0200746203
VisitStationaryFreqs_1_1,0.9554098396
VisitStationaryFreqs_1_2,0.0245155401
VisitStationaryFreqs_2_0,0.0628748504
VisitStationaryFreqs_2_1,0.0729717683
VisitStationaryFreqs_2_2,0.8641533814
stationary_S_0_0,76158773.68813911
stationary_S_0_1,8531843.89979352
stationary_S_0_2,15309382.412067363
stationary_S_1_0,2007462.0280708123
stationary_S_1_1,95540983.9587376
stationary_S_1_2,2451554.013191607
stationary_S_2_0,6287485.0372435665
stationary_S_2_1,7297176.826399835
stationary_S_2_2,86415338.1363566
VisitApproxInfect_0_0,5.24e-08
VisitApproxInfect_0_1,5.5e-09
VisitApproxInfect_0_2,6.2e-09
VisitApproxInfect_1_0,1.4e-09
VisitApproxInfect_1_1,6.15e-08
VisitApproxInfect_1_2,1e-09
VisitApproxInfect_2_0,4.3e-09
VisitApproxInfect_2_1,4.7e-09
VisitApproxInfect_2_2,3.51e-08
StartState_0,0
StartState_1,0
actual_sim_time_0,20.0275591132
SampleCount_0,11888263.963904431
SampleCount_1,11926053.681052515
SampleCount_2,5700102.62391161
total_sampled_0,29514420.268868558
num_sampled_per_capita_0,0.1188826396
num_sampled_per_capita_1,0.1192605368
num_sampled_per_capita_2,0.0570010262
Prevalence_0,392.8551578257
Prevalence_1,626.5435391448
Prevalence_2,1499.5945975819
per_capita_prevalence_at_t_0,4.6517e-06
per_capita_prevalence_at_t_1,5.6258e-06
per_capita_prevalence_at_t_2,1.43948e-05
final_Susceptible_0_0_0,32188.6536462373
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,575.4128906294
final_Susceptible_1_2_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,1205091.5927082095
final_Contagious_0_0_0,292.2841001752
final_Contagious_0_1_0,39.8478778621
final_Contagious_0_2_0,62.9131631085
final_Contagious_1_0_0,9.3198937338
final_Contagious_1_1_0,459.168591199
final_Contagious_1_2_0,11.6887491392
final_Contagious_2_0_0,91.2511639168
final_Contagious_2_1_0,127.5270700837
final_Contagious_2_2_0,1424.9926853342
final_Recovered_0_0_0,99967417.30121541
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,99998944.40988761
final_Recovered_1_2_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,98793264.63639762
R_e_0,0.0021941915
R_e_1,4.81403e-05
R_e_2,0.0571871806
time_of_peak_prev_0,4.149854591
time_of_peak_prev_1,3.9293309171
time_of_peak_prev_2,5.0519968934
peak_infected_0,56130158.65143476
peak_infected_1,89228809.92586672
peak_infected_2,27312471.147625443
per_capita_peak_prevalence_0,0.6646262373
per_capita_peak_prevalence_1,0.8011924771
per_capita_peak_prevalence_2,0.262175541
log_R0_0,2.0227532102
log_R0_1,2.2775050497
log_R0_2,1.7441083173
log_Sample_0,-2.3381785839
log_Sample_1,-2.7795871818
log_Sample_2,-2.702304739
log_Recover_0,-0.396729439
log_Recover_1,-0.396729439
log_Recover_2,-0.396729439
log_VisitDepart_0_0,-3.3660494151
log_VisitDepart_0_1,-3.8459348509
log_VisitDepart_0_2,-2.7897460066
log_VisitDepart_1_0,-3.9070382918
log_VisitDepart_1_1,-3.560952706
log_VisitDepart_1_2,-4.2965277721
log_VisitDepart_2_0,-3.6769682326
log_VisitDepart_2_1,-4.1366971817
log_VisitDepart_2_2,-4.0011713986
log_VisitReturn_0_0,-0.5748065835
log_VisitReturn_0_1,-1.6569200669
log_VisitReturn_0_2,-1.185391588
log_VisitReturn_1_0,-0.0443542366
log_VisitReturn_1_1,-0.0882875743
log_VisitReturn_1_2,-0.6336945798
log_VisitReturn_2_0,-1.0563642035
log_VisitReturn_2_1,-1.6650195342
log_VisitReturn_2_2,-1.9326701724
log_Infect_0,-16.4916003801
log_Infect_1,-16.5593198033
log_Infect_2,-17.0191773798
